jaar,stelsel,definitie,deflator,reeks,waarde
2003,zelfstandigen,Z1,cpi,populatie,719122
2004,zelfstandigen,Z1,cpi,populatie,717465
2005,zelfstandigen,Z1,cpi,populatie,719042
2006,zelfstandigen,Z1,cpi,populatie,725720
2007,zelfstandigen,Z1,cpi,populatie,739033
2008,zelfstandigen,Z1,cpi,populatie,750095
2009,zelfstandigen,Z1,cpi,populatie,755876
2010,zelfstandigen,Z1,cpi,populatie,765986
2011,zelfstandigen,Z1,cpi,populatie,776292
2012,zelfstandigen,Z1,cpi,populatie,788233
2013,zelfstandigen,Z1,cpi,populatie,795921
2014,zelfstandigen,Z1,cpi,populatie,805537
2015,zelfstandigen,Z1,cpi,populatie,821343
2016,zelfstandigen,Z1,cpi,populatie,836088
2017,zelfstandigen,Z1,cpi,populatie,854642
2018,zelfstandigen,Z1,cpi,populatie,869922
2019,zelfstandigen,Z1,cpi,populatie,890004
2020,zelfstandigen,Z1,cpi,populatie,916316
2021,zelfstandigen,Z1,cpi,populatie,945661
2022,zelfstandigen,Z1,cpi,populatie,960661
2023,zelfstandigen,Z1,cpi,populatie,945199
2003,zelfstandigen,Z1,cpi,index_populatie,100
2004,zelfstandigen,Z1,cpi,index_populatie,99.7695801269
2005,zelfstandigen,Z1,cpi,index_populatie,99.988875323
2006,zelfstandigen,Z1,cpi,index_populatie,100.917507739
2007,zelfstandigen,Z1,cpi,index_populatie,102.768793056
2008,zelfstandigen,Z1,cpi,index_populatie,104.307057773
2009,zelfstandigen,Z1,cpi,index_populatie,105.110954748
2010,zelfstandigen,Z1,cpi,index_populatie,106.516835808
2011,zelfstandigen,Z1,cpi,index_populatie,107.949972327
2012,zelfstandigen,Z1,cpi,index_populatie,109.610469434
2013,zelfstandigen,Z1,cpi,index_populatie,110.679550897
2014,zelfstandigen,Z1,cpi,index_populatie,112.016737077
2015,zelfstandigen,Z1,cpi,index_populatie,114.214695142
2016,zelfstandigen,Z1,cpi,index_populatie,116.265112178
2017,zelfstandigen,Z1,cpi,index_populatie,118.8452029
2018,zelfstandigen,Z1,cpi,index_populatie,120.970016214
2019,zelfstandigen,Z1,cpi,index_populatie,123.762588267
2020,zelfstandigen,Z1,cpi,index_populatie,127.421494545
2021,zelfstandigen,Z1,cpi,index_populatie,131.50216514
2022,zelfstandigen,Z1,cpi,index_populatie,133.588042085
2023,zelfstandigen,Z1,cpi,index_populatie,131.43792013
2003,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.42084823082
2004,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.55866426915
2005,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.68852074317
2006,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.82588270195
2007,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.85955216985
2008,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.28056539969
2009,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.56332513945
2010,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.56012745966
2011,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.3710646282
2012,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.34596232706
2013,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.49894344128
2014,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.43871270296
2015,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.68236644224
2016,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.60267876237
2017,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.45592957911
2018,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.34901211155
2019,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,6.22983847772
2020,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.59840627584
2021,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.81666028778
2022,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.41123338399
2023,zelfstandigen,Z1,cpi,bijdragen_pc_reeel,5.82035001882
2003,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,8.4077516321
2004,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,8.82917054924
2005,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,8.90824324717
2006,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,9.21144277463
2007,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,9.28234146487
2008,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.0723854254
2009,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.667836074
2010,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.8692972029
2011,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.922802393
2012,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.5797175995
2013,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,10.7771969349
2014,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,11.06825055
2015,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,9.66317649262
2016,zelfstandigen,Z1,cpi,uitgaven_pc_reeel,9.42277037893
