indicator,gezin,risico,type,maand,positie,waarde
bijdrage_ratio,-,-,ZV100VAA,-,1550,0.2722173464
bijdrage_ratio,-,-,ZV100VAA,-,1800,0.2825369756
bijdrage_ratio,-,-,ZV100VAA,-,2000,0.2925022498
bijdrage_ratio,-,-,ZV100VAA,-,2250,0.3015238456
bijdrage_ratio,-,-,ZV100VAA,-,2500,0.3121383642
bijdrage_ratio,-,-,ZV100VAA,-,2750,0.3208229703
bijdrage_ratio,-,-,ZV100VAA,-,3000,0.3280601421
bijdrage_ratio,-,-,ZV100VAA,-,3250,0.3367971659
bijdrage_ratio,-,-,ZV100VAA,-,3500,0.3442860434
bijdrage_ratio,-,-,ZV100VAA,-,3750,0.3485115759
bijdrage_ratio,-,-,ZV100VAA,-,4000,0.3500980027
bijdrage_ratio,-,-,ZV100VAA,-,4250,0.3470216956
bijdrage_ratio,-,-,ZV100VAA,-,4500,0.3442872004
bijdrage_ratio,-,-,ZV100VAA,-,4750,0.3419561832
bijdrage_ratio,-,-,ZV100VAA,-,5000,0.341416448
bijdrage_ratio,-,-,ZV100VAA,-,5250,0.3397150705
bijdrage_ratio,-,-,ZV100VAA,-,5500,0.3246077431
bijdrage_ratio,-,-,ZV100VAA,-,5750,0.3104943629
bijdrage_ratio,-,-,ZV100VAA,-,6000,0.2975570978
bijdrage_ratio,-,-,ZV100VAA,-,6250,0.2856548139
bijdrage_ratio,-,-,ZV100VAA,-,6500,0.2746680903
bijdrage_ratio,-,-,ZV100VAA,-,6750,0.2644951981
bijdrage_ratio,-,-,ZV100VAA,-,7000,0.255048941
bijdrage_ratio,-,-,ZV100VAA,-,7500,0.2380456783
bijdrage_ratio,-,-,ZV100VAA,-,8000,0.2231678234
bijdrage_ratio,-,-,ZV100VAA,-,8500,0.2100403043
bijdrage_ratio,-,-,ZV100VAA,-,9000,0.1983713985
bijdrage_ratio,-,-,ZV100VAA,-,9500,0.1879307986
bijdrage_ratio,-,-,ZV100VAA,-,10000,0.1785342587
bijdrage_ratio,-,-,ZV100VAA,-,11000,0.1623038715
bijdrage_ratio,-,-,ZV100VAA,-,12000,0.1487785489
bijdrage_ratio,-,-,ZV100VAA,-,13000,0.1373340451
bijdrage_ratio,-,-,ZV100VAA,-,14000,0.1275244705
bijdrage_ratio,-,-,ZV100VAA,-,15000,0.1190228391
bijdrage_ratio,-,-,ZV100,-,1550,0.2706863957
bijdrage_ratio,-,-,ZV100,-,1800,0.2821623353
bijdrage_ratio,-,-,ZV100,-,2000,0.2921650735
bijdrage_ratio,-,-,ZV100,-,2250,0.3049988466
bijdrage_ratio,-,-,ZV100,-,2500,0.3118686232
bijdrage_ratio,-,-,ZV100,-,2750,0.3205777512
bijdrage_ratio,-,-,ZV100,-,3000,0.3278353579
bijdrage_ratio,-,-,ZV100,-,3250,0.3365896728
bijdrage_ratio,-,-,ZV100,-,3500,0.3440933712
bijdrage_ratio,-,-,ZV100,-,3750,0.3483317486
bijdrage_ratio,-,-,ZV100,-,4000,0.3499748497
bijdrage_ratio,-,-,ZV100,-,4250,0.3469057869
bijdrage_ratio,-,-,ZV100,-,4500,0.3441777311
bijdrage_ratio,-,-,ZV100,-,4750,0.3418497289
bijdrage_ratio,-,-,ZV100,-,5000,0.3413153164
bijdrage_ratio,-,-,ZV100,-,5250,0.3396187547
bijdrage_ratio,-,-,ZV100,-,5500,0.3246077431
bijdrage_ratio,-,-,ZV100,-,5750,0.3104943629
bijdrage_ratio,-,-,ZV100,-,6000,0.2975570978
bijdrage_ratio,-,-,ZV100,-,6250,0.2856548139
bijdrage_ratio,-,-,ZV100,-,6500,0.2746680903
bijdrage_ratio,-,-,ZV100,-,6750,0.2644951981
bijdrage_ratio,-,-,ZV100,-,7000,0.255048941
bijdrage_ratio,-,-,ZV100,-,7500,0.2380456783
bijdrage_ratio,-,-,ZV100,-,8000,0.2231678234
bijdrage_ratio,-,-,ZV100,-,8500,0.2100403043
bijdrage_ratio,-,-,ZV100,-,9000,0.1983713985
bijdrage_ratio,-,-,ZV100,-,9500,0.1879307986
bijdrage_ratio,-,-,ZV100,-,10000,0.1785342587
bijdrage_ratio,-,-,ZV100,-,11000,0.1623038715
bijdrage_ratio,-,-,ZV100,-,12000,0.1487785489
bijdrage_ratio,-,-,ZV100,-,13000,0.1373340451
bijdrage_ratio,-,-,ZV100,-,14000,0.1275244705
bijdrage_ratio,-,-,ZV100,-,15000,0.1190228391
bijdrage_ratio,-,-,ZV75,-,1550,0.2123315215
bijdrage_ratio,-,-,ZV75,-,1800,0.1925128955
bijdrage_ratio,-,-,ZV75,-,2000,0.2029874728
bijdrage_ratio,-,-,ZV75,-,2250,0.206856302
bijdrage_ratio,-,-,ZV75,-,2500,0.2133486072
bijdrage_ratio,-,-,ZV75,-,2750,0.2217488951
bijdrage_ratio,-,-,ZV75,-,3000,0.228749135
bijdrage_ratio,-,-,ZV75,-,3250,0.2320591519
bijdrage_ratio,-,-,ZV75,-,3500,0.2373229106
bijdrage_ratio,-,-,ZV75,-,3750,0.2418848348
bijdrage_ratio,-,-,ZV75,-,4000,0.2458765185
bijdrage_ratio,-,-,ZV75,-,4250,0.2513969699
bijdrage_ratio,-,-,ZV75,-,4500,0.2544166812
bijdrage_ratio,-,-,ZV75,-,4750,0.2589065503
bijdrage_ratio,-,-,ZV75,-,5000,0.2629474324
bijdrage_ratio,-,-,ZV75,-,5250,0.2631022571
bijdrage_ratio,-,-,ZV75,-,5500,0.261295363
bijdrage_ratio,-,-,ZV75,-,5750,0.2596455901
bijdrage_ratio,-,-,ZV75,-,6000,0.2581332983
bijdrage_ratio,-,-,ZV75,-,6250,0.2567489187
bijdrage_ratio,-,-,ZV75,-,6500,0.2566716372
bijdrage_ratio,-,-,ZV75,-,6750,0.2556566003
bijdrage_ratio,-,-,ZV75,-,7000,0.254714066
bijdrage_ratio,-,-,ZV75,-,7500,0.2380456783
bijdrage_ratio,-,-,ZV75,-,8000,0.2231678234
bijdrage_ratio,-,-,ZV75,-,8500,0.2100403043
bijdrage_ratio,-,-,ZV75,-,9000,0.1983713985
bijdrage_ratio,-,-,ZV75,-,9500,0.1879307986
bijdrage_ratio,-,-,ZV75,-,10000,0.1785342587
bijdrage_ratio,-,-,ZV75,-,11000,0.1623038715
bijdrage_ratio,-,-,ZV75,-,12000,0.1487785489
bijdrage_ratio,-,-,ZV75,-,13000,0.1373340451
bijdrage_ratio,-,-,ZV75,-,14000,0.1275244705
bijdrage_ratio,-,-,ZV75,-,15000,0.1190228391
bijdrage_ratio,-,-,ZV50,-,1550,0.2123315215
bijdrage_ratio,-,-,ZV50,-,1800,0.1828410324
bijdrage_ratio,-,-,ZV50,-,2000,0.1645569292
bijdrage_ratio,-,-,ZV50,-,2250,0.1462728259
bijdrage_ratio,-,-,ZV50,-,2500,0.1316455433
bijdrage_ratio,-,-,ZV50,-,2750,0.1303322031
bijdrage_ratio,-,-,ZV50,-,3000,0.1336263609
bijdrage_ratio,-,-,ZV50,-,3250,0.1374590304
bijdrage_ratio,-,-,ZV50,-,3500,0.1407441757
bijdrage_ratio,-,-,ZV50,-,3750,0.143138336
bijdrage_ratio,-,-,ZV50,-,4000,0.1460825368
bijdrage_ratio,-,-,ZV50,-,4250,0.149479712
bijdrage_ratio,-,-,ZV50,-,4500,0.1524994233
bijdrage_ratio,-,-,ZV50,-,4750,0.1534132482
bijdrage_ratio,-,-,ZV50,-,5000,0.1559343116
bijdrage_ratio,-,-,ZV50,-,5250,0.1582152737
bijdrage_ratio,-,-,ZV50,-,5500,0.1587446747
bijdrage_ratio,-,-,ZV50,-,5750,0.1621821643
bijdrage_ratio,-,-,ZV50,-,6000,0.163917679
bijdrage_ratio,-,-,ZV50,-,6250,0.1668732492
bijdrage_ratio,-,-,ZV50,-,6500,0.1682948364
bijdrage_ratio,-,-,ZV50,-,6750,0.1696111208
bijdrage_ratio,-,-,ZV50,-,7000,0.1720466856
bijdrage_ratio,-,-,ZV50,-,7500,0.1741658743
bijdrage_ratio,-,-,ZV50,-,8000,0.1749874248
bijdrage_ratio,-,-,ZV50,-,8500,0.1734528934
bijdrage_ratio,-,-,ZV50,-,9000,0.1720888655
bijdrage_ratio,-,-,ZV50,-,9500,0.1709248644
bijdrage_ratio,-,-,ZV50,-,10000,0.1706576582
bijdrage_ratio,-,-,ZV50,-,11000,0.1623038715
bijdrage_ratio,-,-,ZV50,-,12000,0.1487785489
bijdrage_ratio,-,-,ZV50,-,13000,0.1373340451
bijdrage_ratio,-,-,ZV50,-,14000,0.1275244705
bijdrage_ratio,-,-,ZV50,-,15000,0.1190228391
bijdrage_ratio,-,-,ZV00,-,1550,0.2123315215
bijdrage_ratio,-,-,ZV00,-,1800,0.1828410324
bijdrage_ratio,-,-,ZV00,-,2000,0.1645569292
bijdrage_ratio,-,-,ZV00,-,2250,0.1462728259
bijdrage_ratio,-,-,ZV00,-,2500,0.1316455433
bijdrage_ratio,-,-,ZV00,-,2750,0.1196777667
bijdrage_ratio,-,-,ZV00,-,3000,0.1097046194
bijdrage_ratio,-,-,ZV00,-,3250,0.1012658026
bijdrage_ratio,-,-,ZV00,-,3500,0.09403253095
bijdrage_ratio,-,-,ZV00,-,3750,0.08776369556
bijdrage_ratio,-,-,ZV00,-,4000,0.08227846458
bijdrage_ratio,-,-,ZV00,-,4250,0.0774385549
bijdrage_ratio,-,-,ZV00,-,4500,0.07313641296
bijdrage_ratio,-,-,ZV00,-,4750,0.06928712807
bijdrage_ratio,-,-,ZV00,-,5000,0.06582277167
bijdrage_ratio,-,-,ZV00,-,5250,0.06268835397
bijdrage_ratio,-,-,ZV00,-,5500,0.05983888333
bijdrage_ratio,-,-,ZV00,-,5750,0.05723719275
bijdrage_ratio,-,-,ZV00,-,6000,0.05485230972
bijdrage_ratio,-,-,ZV00,-,6250,0.05265821733
bijdrage_ratio,-,-,ZV00,-,6500,0.05063290128
bijdrage_ratio,-,-,ZV00,-,6750,0.04875760864
bijdrage_ratio,-,-,ZV00,-,7000,0.04701626548
