variant,groep,type,gini,kakwani,ratio,n_obs,posities_met_obs,posities_n_onder_10
-,rapport,ZE,0.31345006077657445,-0.1592350071284292,0.26059264584253083,,,
-,rapport,ZV100VAA,0.31345006077657445,-0.16427292714029412,0.2690432812938652,,,
-,rapport,ZV100,0.31345006077657445,-0.16425687290708404,0.26902151847274824,,,
-,rapport,ZV75,0.31345006077657445,-0.0941193860205877,0.21942257784517658,,,
-,rapport,ZV50,0.31345006077657445,-0.01166305429801967,0.15680835971374366,,,
-,rapport,ZV00,0.31345006077657445,-0.31345006077657445,0.07375623381264915,,,
-,rapport,WN,0.31345006077657445,0.07227278397355913,0.2459543393944898,,,
A,wn_alleen,WN,0.20320584625136284,0.21755409937255232,0.17572218358149297,708.0,28.0,14.0
A,wn_koppel,WN,0.16737957947140214,0.17075920352673551,0.19191897374887532,2012.0,28.0,10.0
A,wn_koppel2,WN,0.15754537031873972,0.14939925628503986,0.19993060912952576,978.0,26.0,11.0
A,wn_typ,WN,0.17759329133418525,0.18315932263038423,0.18759924077985857,2720.0,32.0,12.0
A,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.27658071633129927,93.0,19.0,18.0
A,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282953,93.0,19.0,18.0
A,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.3023950287372815,93.0,19.0,18.0
A,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399764,93.0,19.0,18.0
A,zs_alleen,ZV50,0.2327053988508412,-0.07845184840516292,0.17086006357692232,93.0,19.0,18.0
A,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890348,93.0,19.0,18.0
A,zs_koppel,ZE,0.2047269197994913,0.050335951577349436,0.2864394606272862,275.0,21.0,11.0
A,zs_koppel,ZV100VAA,0.2047269197994913,0.02402445782252599,0.3083071061639996,275.0,21.0,11.0
A,zs_koppel,ZV100,0.2047269197994913,0.023994443298287232,0.30834061857646977,275.0,21.0,11.0
A,zs_koppel,ZV75,0.2047269197994913,0.0327455013984759,0.21835142725649587,275.0,21.0,11.0
A,zs_koppel,ZV50,0.2047269197994913,-0.05099416180562197,0.1565021335974289,275.0,21.0,11.0
A,zs_koppel,ZV00,0.2047269197994913,-0.2047269197994913,0.1381283504303664,275.0,21.0,11.0
