indicator,gezin,risico,type,maand,gemiddelde,vc,minimum,maximum
bijdrage_ratio,-,-,ZV100VAA,-,0.2690432813,0.2692678044,0.1190228391,0.3500980027
bijdrage_ratio,-,-,ZV100,-,0.2690215185,0.2692488049,0.1190228391,0.3499748497
bijdrage_ratio,-,-,ZV75,-,0.2194225778,0.1880792635,0.1190228391,0.2631022571
bijdrage_ratio,-,-,ZV50,-,0.1568083597,0.1189510211,0.1190228391,0.2123315215
bijdrage_ratio,-,-,ZV00,-,0.07375623382,0.6391036659,0.02194092389,0.2123315215
bijdrage_ratio,-,-,ZE,-,0.2605926458,0.2736617332,0.1168709502,0.3464514129
bijdrage_ratio,-,-,WN,-,0.2459543394,0.3520001163,0,0.3066786667
vervangingsgraad,alleen,ziekte,ZS,-,0.360886958,0.6391036659,0.1073562581,1.03893153
vervangingsgraad,alleen,ziekte,WN,2,0.4468549018,0.472462437,0.1499121555,0.8447053761
vervangingsgraad,alleen,ziekte,WN,3-6,0.4579168638,0.4980285499,0.1499094766,0.9032258065
vervangingsgraad,alleen,ziekte,WN,7-12,0.4619082086,0.5127274115,0.1499094766,1.03893153
vervangingsgraad,alleen,werkloosheid,ZS,-,0.3614735286,0.6391036659,0.1075307505,1.040620166
vervangingsgraad,alleen,werkloosheid,WN,1-3,0.3995033562,0.5388203533,0.1266765631,0.9117741935
vervangingsgraad,alleen,werkloosheid,WN,4-6,0.3844613537,0.5510036433,0.1208580643,0.9117741935
vervangingsgraad,alleen,werkloosheid,WN,7-12,0.3729930218,0.5648230971,0.1161096427,0.9117741935
vervangingsgraad,koppel,ziekte,ZS,-,0.2768143818,0.6391036659,0.08234644,0.7969010323
vervangingsgraad,koppel,ziekte,WN,2,0.4327162981,0.4493893345,0.1499121555,0.8073992724
vervangingsgraad,koppel,ziekte,WN,3-6,0.4579168638,0.4980285499,0.1499094766,0.9032258065
vervangingsgraad,koppel,ziekte,WN,7-12,0.4504325709,0.4807040948,0.1499094766,0.8909211974
vervangingsgraad,koppel,werkloosheid,ZS,-,0.3614735286,0.6391036659,0.1075307505,1.040620166
vervangingsgraad,koppel,werkloosheid,WN,1-3,0.3968562383,0.5299779126,0.1266765631,0.8776322297
vervangingsgraad,koppel,werkloosheid,WN,4-6,0.3778370165,0.5273129286,0.1208580643,0.8263349032
vervangingsgraad,koppel,werkloosheid,WN,7-12,0.3663686847,0.5393901239,0.1161096427,0.8263349032
vervangingsgraad,-,pensioen,ZV100,-,0.4933896924,0.4614530884,0.1701721299,1.085717995
vervangingsgraad,-,pensioen,ZV75,-,0.4639284112,0.4525328547,0.1701721299,1.085717995
vervangingsgraad,-,pensioen,ZV50,-,0.4230145456,0.5006268836,0.1701721299,1.085717995
vervangingsgraad,-,pensioen,ZV00,-,0.3771388712,0.6391036659,0.1121908595,1.085717995
vervangingsgraad,-,pensioen,ZE,-,0.4926266304,0.4603078547,0.1701721299,1.085717995
vervangingsgraad,-,pensioen,WN,-,0.5103295783,0.4518999555,0.1767357161,1.085717995
equivalentiegraad,alleen,ziekte,ZV100VAA,-,0.9154567897,0.3012609209,0.2620166377,1.108671643
equivalentiegraad,alleen,ziekte,ZV100,-,0.9154030224,0.301231824,0.2605430559,1.108671643
equivalentiegraad,alleen,ziekte,ZV75,-,0.8016261506,0.3985530949,0.2043748941,1.108671643
equivalentiegraad,alleen,ziekte,ZV50,-,0.6097976348,0.5294243234,0.2043748941,1.108671643
equivalentiegraad,alleen,ziekte,ZV00,-,0.2043748941,0,0.2043748941,0.2043748941
equivalentiegraad,alleen,ziekte,ZE,-,0.8956305238,0.3146794522,0.2180846679,1.08862727
equivalentiegraad,alleen,ziekte,WN,2,0.782498221,0.6843934278,0,2.045722481
equivalentiegraad,alleen,ziekte,WN,3-6,0.7825055245,0.68441153,0,2.045759038
equivalentiegraad,alleen,ziekte,WN,7-12,0.7825055245,0.68441153,0,2.045759038
equivalentiegraad,alleen,werkloosheid,ZV100VAA,-,0.9139712588,0.3012609209,0.2615914578,1.106872579
equivalentiegraad,alleen,werkloosheid,ZV100,-,0.9139175787,0.301231824,0.2601202672,1.106872579
equivalentiegraad,alleen,werkloosheid,ZV75,-,0.800325335,0.3985530949,0.2040432507,1.106872579
equivalentiegraad,alleen,werkloosheid,ZV50,-,0.6088081034,0.5294243234,0.2040432507,1.106872579
equivalentiegraad,alleen,werkloosheid,ZV00,-,0.2040432507,0,0.2040432507,0.2040432507
equivalentiegraad,alleen,werkloosheid,ZE,-,0.8941771653,0.3146794522,0.2177307773,1.086860732
equivalentiegraad,alleen,werkloosheid,WN,1-3,0.9242296002,0.6878249964,0,2.42095822
equivalentiegraad,alleen,werkloosheid,WN,4-6,0.9687148421,0.6878460532,0,2.537510992
equivalentiegraad,alleen,werkloosheid,WN,7-12,1.008203444,0.6880983946,0,2.641285079
equivalentiegraad,koppel,ziekte,ZV100VAA,-,1.193494405,0.3012609209,0.3415949225,1.445391436
equivalentiegraad,koppel,ziekte,ZV100,-,1.193424308,0.301231824,0.3396737923,1.445391436
equivalentiegraad,koppel,ziekte,ZV75,-,1.045091736,0.3985530949,0.2664465384,1.445391436
equivalentiegraad,koppel,ziekte,ZV50,-,0.7950020947,0.5294243234,0.2664465384,1.445391436
equivalentiegraad,koppel,ziekte,ZV00,-,0.2664465384,0,0.2664465384,0.2664465384
equivalentiegraad,koppel,ziekte,ZE,-,1.167646612,0.3146794522,0.284320171,1.419259293
equivalentiegraad,koppel,ziekte,WN,2,0.7825002564,0.6843878528,0,2.045722481
equivalentiegraad,koppel,ziekte,WN,3-6,0.7825055245,0.68441153,0,2.045759038
equivalentiegraad,koppel,ziekte,WN,7-12,0.7825101062,0.6843989785,0,2.045759038
equivalentiegraad,koppel,werkloosheid,ZV100VAA,-,0.9139712588,0.3012609209,0.2615914578,1.106872579
equivalentiegraad,koppel,werkloosheid,ZV100,-,0.9139175787,0.301231824,0.2601202672,1.106872579
equivalentiegraad,koppel,werkloosheid,ZV75,-,0.800325335,0.3985530949,0.2040432507,1.106872579
equivalentiegraad,koppel,werkloosheid,ZV50,-,0.6088081034,0.5294243234,0.2040432507,1.106872579
equivalentiegraad,koppel,werkloosheid,ZV00,-,0.2040432507,0,0.2040432507,0.2040432507
equivalentiegraad,koppel,werkloosheid,ZE,-,0.8941771653,0.3146794522,0.2177307773,1.086860732
equivalentiegraad,koppel,werkloosheid,WN,1-3,0.9242308227,0.6878221658,0,2.42095822
equivalentiegraad,koppel,werkloosheid,WN,4-6,0.9687180914,0.6878388754,0,2.537510992
equivalentiegraad,koppel,werkloosheid,WN,7-12,1.008206693,0.6880914986,0,2.641285079
equivalentiegraad,-,pensioen,ZV100,-,0.6027287879,0.222089978,0.2493155652,0.6994261585
equivalentiegraad,-,pensioen,ZV75,-,0.5427092181,0.2970791562,0.1955678384,0.6994261585
equivalentiegraad,-,pensioen,ZV50,-,0.4446616205,0.3817602606,0.1955678384,0.6994261585
