weging,scenario,kakwani,gem_ratio,opbrengst_rel
gelijk,huidig,-0.15928795562775278,0.2606026769366944,0.0
gelijk,geen_degressieve_schijf,-0.14303804419967137,0.277445066995409,0.08526491968445082
gelijk,geen_plafond,0.007576098594022973,0.3232454594133797,0.44888564991605606
gelijk,vlak_20_5,0.0525982746689459,0.36813553597648585,0.735134681215464
gelijk,werknemer,0.07227278397355913,0.2459543393944898,
silc_A,huidig,0.05697572937163439,0.2839918970870901,0.0
silc_A,geen_degressieve_schijf,0.06581043566798692,0.2858775342010975,0.013367107192134409
silc_A,geen_plafond,0.07373159848985597,0.2861638578422354,0.0239892008688245
silc_A,vlak_20_5,0.08921785057154527,0.2890219689101709,0.048097235568610675
adi2023,huidig,0.03826847059363431,0.28360410037735495,0.0
adi2023,geen_degressieve_schijf,0.051744103194241886,0.286840890089565,0.02249827756408762
adi2023,geen_plafond,0.07112037388474035,0.28821661602927234,0.050082619823242025
adi2023,vlak_20_5,0.09646164395263362,0.29351861402066,0.09500489524604094
