tabel,rij,kolom,indicator,gezin,risico,type,maand,gemiddelde,vc
8,WN,gelijk,bijdrage_ratio,-,-,WN,-,0.2459543394,0.3520001163
8,ZE,gelijk,bijdrage_ratio,-,-,ZE,-,0.2605926458,0.2736617332
8,ZV100VAA,gelijk,bijdrage_ratio,-,-,ZV100VAA,-,0.2690432813,0.2692678044
8,ZV100,gelijk,bijdrage_ratio,-,-,ZV100,-,0.2690215185,0.2692488049
8,ZV75,gelijk,bijdrage_ratio,-,-,ZV75,-,0.2194225778,0.1880792635
8,ZV50,gelijk,bijdrage_ratio,-,-,ZV50,-,0.1568083597,0.1189510211
8,ZV00,gelijk,bijdrage_ratio,-,-,ZV00,-,0.07375623382,0.6391036659
9,WN,ziekte,equivalentiegraad,alleen,ziekte,WN,2,0.782498221,0.6843934278
9,WN,werkloosheid,equivalentiegraad,alleen,werkloosheid,WN,1-3,0.9242296002,0.6878249964
9,WN,pensioen,equivalentiegraad,-,pensioen,WN,-,0.6705732648,0.6683399371
9,ZE,ziekte,equivalentiegraad,alleen,ziekte,ZE,-,0.8956305238,0.3146794522
9,ZE,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZE,-,0.8941771653,0.3146794522
9,ZE,pensioen,equivalentiegraad,-,pensioen,ZE,-,0.5885637112,0.2388777171
9,ZV100VAA,ziekte,equivalentiegraad,alleen,ziekte,ZV100VAA,-,0.9154567897,0.3012609209
9,ZV100VAA,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZV100VAA,-,0.9139712588,0.3012609209
9,ZV100,ziekte,equivalentiegraad,alleen,ziekte,ZV100,-,0.9154030224,0.301231824
9,ZV100,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZV100,-,0.9139175787,0.301231824
9,ZV100,pensioen,equivalentiegraad,-,pensioen,ZV100,-,0.6027287879,0.222089978
9,ZV75,ziekte,equivalentiegraad,alleen,ziekte,ZV75,-,0.8016261506,0.3985530949
9,ZV75,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZV75,-,0.800325335,0.3985530949
9,ZV75,pensioen,equivalentiegraad,-,pensioen,ZV75,-,0.5427092181,0.2970791562
9,ZV50,ziekte,equivalentiegraad,alleen,ziekte,ZV50,-,0.6097976348,0.5294243234
9,ZV50,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZV50,-,0.6088081034,0.5294243234
9,ZV50,pensioen,equivalentiegraad,-,pensioen,ZV50,-,0.4446616205,0.3817602606
9,ZV00,ziekte,equivalentiegraad,alleen,ziekte,ZV00,-,0.2043748941,0
9,ZV00,werkloosheid,equivalentiegraad,alleen,werkloosheid,ZV00,-,0.2040432507,0
9,ZV00,pensioen,equivalentiegraad,-,pensioen,ZV00,-,0.1955678384,0
10,WN,ziekte,vervangingsgraad,alleen,ziekte,WN,2,0.4468549018,0.472462437
10,WN,werkloosheid,vervangingsgraad,alleen,werkloosheid,WN,1-3,0.3995033562,0.5388203533
10,ZS,ziekte,vervangingsgraad,alleen,ziekte,ZS,-,0.360886958,0.6391036659
10,ZS,werkloosheid,vervangingsgraad,alleen,werkloosheid,ZS,-,0.3614735286,0.6391036659
10,WN,pensioen,vervangingsgraad,-,pensioen,WN,-,0.5103295783,0.4518999555
10,ZE,pensioen,vervangingsgraad,-,pensioen,ZE,-,0.4926266304,0.4603078547
10,ZV100,pensioen,vervangingsgraad,-,pensioen,ZV100,-,0.4933896924,0.4614530884
10,ZV75,pensioen,vervangingsgraad,-,pensioen,ZV75,-,0.4639284112,0.4525328547
10,ZV50,pensioen,vervangingsgraad,-,pensioen,ZV50,-,0.4230145456,0.5006268836
10,ZV00,pensioen,vervangingsgraad,-,pensioen,ZV00,-,0.3771388712,0.6391036659
B7.1,WN,ziekte,equivalentiegraad,koppel,ziekte,WN,2,0.7825002564,0.6843878528
B7.1,WN,werkloosheid,equivalentiegraad,koppel,werkloosheid,WN,1-3,0.9242308227,0.6878221658
B7.1,ZE,ziekte,equivalentiegraad,koppel,ziekte,ZE,-,1.167646612,0.3146794522
B7.1,ZE,werkloosheid,equivalentiegraad,koppel,werkloosheid,ZE,-,0.8941771653,0.3146794522
B7.1,ZV100VAA,ziekte,equivalentiegraad,koppel,ziekte,ZV100VAA,-,1.193494405,0.3012609209
B7.1,ZV100VAA,werkloosheid,equivalentiegraad,koppel,werkloosheid,ZV100VAA,-,0.9139712588,0.3012609209
B7.1,ZV75,ziekte,equivalentiegraad,koppel,ziekte,ZV75,-,1.045091736,0.3985530949
B7.1,ZV75,werkloosheid,equivalentiegraad,koppel,werkloosheid,ZV75,-,0.800325335,0.3985530949
B7.1,ZV50,ziekte,equivalentiegraad,koppel,ziekte,ZV50,-,0.7950020947,0.5294243234
B7.1,ZV50,werkloosheid,equivalentiegraad,koppel,werkloosheid,ZV50,-,0.6088081034,0.5294243234
B7.1,ZV00,ziekte,equivalentiegraad,koppel,ziekte,ZV00,-,0.2664465384,0
B7.1,ZV00,werkloosheid,equivalentiegraad,koppel,werkloosheid,ZV00,-,0.2040432507,0
B7.2,WN,ziekte,vervangingsgraad,koppel,ziekte,WN,2,0.4327162981,0.4493893345
B7.2,WN,werkloosheid,vervangingsgraad,koppel,werkloosheid,WN,1-3,0.3968562383,0.5299779126
B7.2,ZS,ziekte,vervangingsgraad,koppel,ziekte,ZS,-,0.2768143818,0.6391036659
B7.2,ZS,werkloosheid,vervangingsgraad,koppel,werkloosheid,ZS,-,0.3614735286,0.6391036659
