jaar,z_aandeel_bijdragen,z_aandeel_toelagen,z_aandeel_alternatieve,z_aandeel_overige,z_nationale_solidariteit,z_index_nationale_solidariteit,z_toelagen_in_ns,z_alternatieve_in_ns,w_aandeel_bijdragen,w_aandeel_toelagen,w_aandeel_alternatieve,w_aandeel_overige,w_nationale_solidariteit,w_index_nationale_solidariteit,w_toelagen_in_ns,w_alternatieve_in_ns
2000,0.629362015697,0.287969424351,0.053677653757,0.0289909061948,0.341647078108,100,0.842885664194,0.157114335806,0.723131247948,0.121914924198,0.0875674099754,0.067386417878,0.209482334174,100,0.581981887299,0.418018112701
2001,0.642873306656,0.292701186239,0.0340823811801,0.0303431259241,0.32678356742,95.6494547617,0.895703503547,0.104296496453,0.735897157159,0.122240940097,0.0802536665708,0.0616082361726,0.202494606668,96.6642879301,0.603675041566,0.396324958434
2002,0.642429368915,0.285555471748,0.0407239675325,0.0312911918045,0.326279439281,95.5018966027,0.875186841003,0.124813158997,0.724247170508,0.114632932102,0.0971146778499,0.0640052195403,0.211747609952,101.081368406,0.541365884262,0.458634115738
2003,0.646372481757,0.285593516942,0.0378761664063,0.0301578348943,0.323469683349,94.6794818618,0.882906595715,0.117093404285,0.72299185156,0.116010849453,0.0985964720458,0.0624008269417,0.214607321499,102.446500964,0.540572654478,0.459427345522
2004,0.628363841467,0.270608787445,0.0689906351691,0.0320367359186,0.339599422614,99.400651835,0.796847018649,0.203152981351,0.674823683712,0.107721229562,0.153166258477,0.064288828249,0.260887488039,124.539135516,0.412903011837,0.587096988163
2005,0.619821321666,0.258575249925,0.0890626259949,0.032540802414,0.34763787592,101.75350477,0.743806322141,0.256193677859,0.66178948915,0.103626991394,0.172045504842,0.0625380146142,0.275672496236,131.597013812,0.375906166952,0.624093833048
2006,0.615330138912,0.248064784961,0.103549566453,0.0330555096731,0.351614351414,102.917417986,0.705502445971,0.294497554029,0.658986869311,0.101804140545,0.179675112952,0.0595338771925,0.281479253496,134.368969396,0.361675467305,0.638324532695
2007,0.593705837337,0.233739366429,0.138251262913,0.0343035333217,0.371990629342,108.881548586,0.62834745822,0.37165254178,0.654911463772,0.0974703303357,0.184895061501,0.0627231443911,0.282365391837,134.791982794,0.345192198313,0.654807801687
2008,0.598899198036,0.2303697024,0.148398325927,0.022332773638,0.378768028326,110.86529129,0.608207887602,0.391792112398,0.682824761431,0.101962568502,0.165180770478,0.0500318995895,0.26714333898,127.525473703,0.381677375492,0.618322624508
2009,0.609842593793,0.226933001617,0.151645864918,0.0115785396723,0.378578866535,110.809923688,0.599433887301,0.400566112699,0.685640036838,0.102161958886,0.161475653609,0.0507223506666,0.263637612495,125.851954789,0.387509042883,0.612490957117
