jaar,W1,W2,Z1,Z2,werkende_bevolking,aandeel_zelfstandigen_Z1,aandeel_werknemers_W1,index_W1,index_W2,index_Z1,index_Z2
2003,3416845,3431288,719122,853157,4135967,0.173870342776,0.826129657224,100,100,100,100
2004,3446922,3460962,717465,856519,4164387,0.17228586104,0.82771413896,100.880256494,100.864806452,99.7695801269,100.394065805
2005,3488326,3501575,719042,863572,4207368,0.170900667591,0.829099332409,102.092017636,102.048414473,99.988875323,101.220760071
2006,3552305,3566422,725720,877436,4278025,0.169639027355,0.830360972645,103.964476001,103.938287897,100.917507739,102.845783367
2007,3632158,3646646,739033,901280,4371191,0.169069024895,0.830930975105,106.301514994,106.276302077,102.768793056,105.640579635
2008,3664695,3679558,750095,920415,4414790,0.169905023795,0.830094976205,107.25376773,107.235475425,104.307057773,107.883425911
2009,3650975,3665867,755876,930560,4406851,0.171522931,0.828477069,106.852227713,106.836470736,105.110954748,109.072538818
2010,3702275,3717768,765986,948805,4468261,0.171428213347,0.828571786653,108.353612763,108.349051435,106.516835808,111.211066662
2011,3724412,3740447,776292,965752,4500704,0.172482349428,0.827517650572,109.001491142,109.009998578,107.949972327,113.197453693
2012,3717226,3733131,788233,984354,4505459,0.174950654306,0.825049345694,108.791180168,108.796784181,109.610469434,115.377826121
2013,3704916,3721153,795921,996415,4500837,0.176838441383,0.823161558617,108.430906289,108.447702437,110.679550897,116.791516685
2014,3726937,3743258,805537,1010704,4532474,0.177725674764,0.822274325236,109.075389724,109.091921168,112.016737077,118.466354962
2015,3752674,3769678,821343,1030641,4574017,0.179567106987,0.820432893013,109.828628457,109.861894426,114.214695142,120.803205037
2016,3801359,3818849,836088,1052469,4637447,0.180290577984,0.819709422016,111.253480916,111.294913164,116.265112178,123.361702477
2017,3858071,3876357,854642,1081567,4712713,0.181348195827,0.818651804173,112.913257698,112.970901889,118.8452029,126.772329126
2018,3914029,3933049,869922,1106330,4783951,0.181841745453,0.818158254547,114.55096734,114.623109456,120.970016214,129.674842966
2019,3966918,3986725,890004,1137274,4856922,0.18324444988,0.81675555012,116.098857279,116.187420001,123.762588267,133.301842451
2020,3946692,3966758,916316,1177227,4863008,0.188425764465,0.811574235535,115.506907688,115.605510234,127.421494545,137.984802328
2021,4019084,4040443,945661,1223537,4964745,0.190475240924,0.809524759076,117.625587347,117.752954576,131.50216514,143.412877114
2022,4069839,4092156,960661,1249134,5030500,0.190967299473,0.809032700527,119.11102201,119.260056282,133.588042085,146.413145529
2023,3992877,4015175,945199,1241323,4938076,0.191410379265,0.808589620735,116.858593234,117.016554716,131.43792013,145.497604778
