jaar,vennootschappen,zelfstandigen,helpers,hoofdberoep,bijberoep,actief_na_pensioen,landbouw,visserij,nijverheid,handel,vrije_beroepen,diensten,diversen,totaal_hoedanigheid,totaal_aard,aandeel_hoofdberoep,index_hoofdberoep,aandeel_bijberoep,index_bijberoep,aandeel_actief_na_pensioen,index_actief_na_pensioen,totaal_sector,landbouw_visserij,aandeel_landbouw_visserij,aandeel_nijverheid,aandeel_handel,aandeel_vrije_beroepen,aandeel_diensten,aandeel_diversen,index_vennootschappen,index_zelfstandigen_rsvz
2000,306441,748899,46024,586394,145594,62905,82391,996,161084,324136,154642,69073,2601,794923,794893,0.737701803891,91.617334352,0.183161758878,92.0933115741,0.0791364372312,107.504187032,794923,83387,0.10489946825,0.202641010513,0.40775773251,0.19453708095,0.0868926927514,0.00327201502535,90.0227376882,92.7938318226
2001,317284,748164,45317,581517,150399,61558,80888,994,158794,323204,158004,68962,2635,793481,793474,0.732874675163,90.8553590596,0.189544963036,95.132642605,0.0775803618014,105.202173839,793481,81882,0.103193397195,0.200123254369,0.407324182936,0.199127641368,0.0869107136781,0.00332081045419,93.2080704105,92.6255026819
2002,338652,751168,44089,580317,154023,60917,79528,982,159732,322411,161116,69159,2329,795257,795257,0.729722592822,90.6678728281,0.193677012588,97.4249497135,0.0766003945894,104.106709505,795257,80510,0.101237713091,0.200855823966,0.405417368222,0.202596141876,0.0869643398298,0.00292861301441,99.4853174463,92.8328206804
2003,340404,753826,102829,640047,158094,58514,89679,1658,171573,344758,172661,73860,2466,856655,856655,0.747146751026,100,0.184548038592,100,0.0683052103822,100,856655,91337,0.106620518178,0.20028249412,0.402446725928,0.201552550327,0.0862190730224,0.00287863842504,100,100
2004,348930,761344,98373,636594,163772,59351,88269,1524,171809,343123,177892,74365,2735,859717,859717,0.740469247438,99.4605083689,0.190495244365,103.591534151,0.0690355081963,101.430426906,859717,89793,0.104444834754,0.199843669487,0.399111568109,0.206919253661,0.0864993945682,0.00318127942102,102.50467092,100.357436774
2005,354953,774536,92732,636620,170357,60291,87237,1355,173807,341602,184422,75748,3097,867268,867268,0.734052219153,99.4645705706,0.196429477393,107.756777613,0.0695183034541,103.036880063,867268,88592,0.102150661618,0.200407486498,0.393882859739,0.212647071032,0.0873409372881,0.00357098382507,104.274039083,101.238888467
2006,373382,791288,89334,640732,178926,60964,86575,1230,180310,339292,192329,77387,3499,880622,880622,0.727590271422,100.10702339,0.203181387701,113.176970663,0.0692283408772,104.187032163,880622,87805,0.0997079337105,0.204753004127,0.38528676322,0.2184013118,0.0878776592,0.0039733279432,109.68790026,102.797742382
2007,387861,817491,87463,652000,190268,62686,85697,1141,188398,343045,202675,79986,4012,904954,904954,0.720478609962,101.867519104,0.210251570798,120.351183473,0.0692698192394,107.129917627,904954,86838,0.0959584686072,0.208185167423,0.379074516495,0.22396165993,0.0883868130314,0.00443337451406,113.941375542,105.638092348
2008,413469,839288,84658,659907,199650,64389,85451,737,192416,345014,212906,82808,4614,923946,923946,0.714226805463,103.102897131,0.21608405686,126.285627538,0.0696891376769,110.040332228,923946,86188,0.0932825078522,0.208254594966,0.373413597764,0.230431215677,0.089624285402,0.00499379833886,121.464201361,107.855087521
2009,429286,857909,76733,662039,205862,66741,80931,701,190051,340175,228142,83964,10678,934642,934642,0.708334314101,103.435997669,0.220257595957,130.214935418,0.0714080899425,114.059883105,934642,81632,0.0873403934341,0.203340958356,0.363962886324,0.244095600241,0.0898354664139,0.0114246952309,126.110739004,109.103664836
