aandeel_met_zelfstandige_activiteit_s,winst_buiten_bijdragebasis_X_eur,verschil_per_extra_vennootschap_eur,verschil_totaal_miljoen_eur,beroepssolidariteit_feitelijk,beroepssolidariteit_tegenfeitelijk,verschil_procentpunt
0.25,0,-409.524,-140.275,0.571583,0.55655,-1.50324
0.25,2000,-307.024,-105.166,0.571583,0.560313,-1.12699
0.25,5000,-153.274,-52.5012,0.571583,0.565956,-0.562623
0.25,10000,102.976,35.2726,0.571583,0.575363,0.377995
0.25,15000,359.226,123.046,0.571583,0.584769,1.31861
0.25,20000,615.476,210.82,0.571583,0.594175,2.25923
0.5,0,-409.524,-140.275,0.571583,0.55655,-1.50324
0.5,2000,-204.524,-70.056,0.571583,0.564075,-0.750747
0.5,5000,102.976,35.2726,0.571583,0.575363,0.377995
0.5,10000,615.476,210.82,0.571583,0.594175,2.25923
0.5,15000,1127.98,386.368,0.571583,0.612987,4.14047
0.5,20000,1640.48,561.916,0.571583,0.6318,6.02171
0.75,0,-409.524,-140.275,0.571583,0.55655,-1.50324
0.75,2000,-102.024,-34.9464,0.571583,0.567838,-0.3745
0.75,5000,359.226,123.046,0.571583,0.584769,1.31861
0.75,10000,1127.98,386.368,0.571583,0.612987,4.14047
0.75,15000,1896.73,649.689,0.571583,0.641206,6.96232
0.75,20000,2665.48,913.011,0.571583,0.669424,9.78418
1,0,-409.524,-140.275,0.571583,0.55655,-1.50324
1,2000,0.476122,0.163087,0.571583,0.5716,0.0017477
1,5000,615.476,210.82,0.571583,0.594175,2.25923
1,10000,1640.48,561.916,0.571583,0.6318,6.02171
1,15000,2665.48,913.011,0.571583,0.669424,9.78418
1,20000,3690.48,1264.11,0.571583,0.707049,13.5467
