jaar,aantal_vennootschappen,vennootschapsbijdragen_nominaal,vennootschapsbijdragen_reeel,vb_per_vennootschap_nominaal_eur,vb_per_vennootschap_reeel_eur,index_aantal_vennootschappen,index_vb_per_vennootschap,gewone_bijdragen_reeel,populatie_Z1,index_populatie_Z1,gewone_bijdragen_pc_reeel_Z1,index_gewone_bijdragen_pc_Z1,populatie_Z2,index_populatie_Z2,gewone_bijdragen_pc_reeel_Z2,index_gewone_bijdragen_pc_Z2,aandeel_vb_in_bijdragen,aandeel_gewone_in_bijdragen
2003,340404,92272.388,152238.486961,271.067284756,447.228842673,100,100,3733195.05708,719122,100,5191.32366563,100,853157,100,4375.74216361,100,0.0390530210377,0.957658920631
2004,348930,106957.35799,172838.692314,306.529556043,495.339157752,102.50467092,110.757426733,3802485.59845,717465,99.7695801269,5299.89002732,102.091304043,856519,100.394065805,4439.46438835,101.456260958,0.0433380940371,0.953446686235
2005,354953,162784.392,255942.499639,458.608300254,721.06025203,104.274039083,161.228477063,3814155.73727,719042,99.988875323,5304.49645121,102.180037171,863572,101.220760071,4416.72001555,100.936477754,0.0625732629515,0.932491361235
2006,373382,152960.13156,236275.80453,409.661235839,632.799129389,109.68790026,141.493362907,3968970.71961,725720,100.917507739,5469.01107811,105.349067605,877436,102.845783367,4523.37346497,103.373857413,0.0558841207563,0.938743767752
2007,387861,162433.16453,246411.707773,418.792207853,635.30931899,113.941375542,142.05463923,4062385.95754,739033,102.768793056,5496.89385662,105.886171055,901280,105.640579635,4507.35171927,103.007708195,0.056902727263,0.938108185963
2008,413469,172068.3226,249806.501551,416.157735163,604.172263341,121.464201361,135.092419292,4452924.84881,750095,104.307057773,5936.48117746,114.353902007,920415,107.883425911,4837.95336756,110.563035633,0.0530259825364,0.945214451194
2009,429286,173004.176,251303.315721,403.004467884,585.398349168,126.110739004,130.894587583,4701066.1931,755876,105.110954748,6219.3616322,119.803002717,930560,109.072538818,5051.86790008,115.451681365,0.0506551660525,0.94759310259
2010,445941,185087.923,263096.235902,415.0502488,589.97992089,131.003454719,131.919023237,4751983.70072,765986,106.516835808,6203.74745846,119.502228296,948805,111.211066662,5008.38813109,114.458026635,0.0523578163068,0.945674835834
2011,464463,193006.84555,264995.569163,415.548376405,570.541828226,136.444636373,127.572681765,4669191.11711,776292,107.949972327,6014.73558546,115.861309617,965752,113.197453693,4834.77240234,110.490340189,0.0535798497246,0.944070722315
2012,477479,199484.642,266329.141857,417.787257659,557.781895868,140.268328222,124.719571424,4725059.21693,788233,109.610469434,5994.49555769,115.471427786,984354,115.377826121,4800.16256035,109.69939226,0.0532434988686,0.944615686125
2013,484231,201195.1913,265658.130593,415.494239939,548.618594416,142.25185368,122.670664785,4889626.98869,795921,110.679550897,6143.35717828,118.33893577,996415,116.791516685,4907.21937013,112.145990021,0.0513582706124,0.945285527376
2014,486320,205323.345,270190.297726,422.198028047,555.581299814,142.865536245,124.227519963,4902418.34886,805537,112.016737077,6085.90089451,117.232160553,1010704,118.466354962,4850.49861172,110.849735436,0.0520937005686,0.945204604596
2015,500742,207944.247,272120.499246,415.272230011,543.434541631,147.102266718,121.511514862,5201621.52946,821343,114.214695142,6333.06855901,121.993329003,1030641,120.803205037,5046.97710402,115.339910701,0.0495799873309,0.947728415338
2016,516774,214029.496,274666.679481,414.164598064,531.502512668,151.811964607,118.843523036,5224767.05548,836088,116.265112178,6249.06356207,120.375148316,1052469,123.361702477,4964.29543814,113.45036459,0.0497546664105,0.946443676419
2017,533903,219917.495,276340.940615,411.905336737,517.586416661,156.843926628,115.731895458,5218615.75893,854642,118.8452029,6106.20091095,117.62319794,1081567,126.772329126,4825.05083729,110.268170676,0.050084370009,0.945828301892
2018,551179,225798.786,278016.334422,409.665074322,504.402987817,161.919072631,112.784091653,5218123.65505,869922,120.970016214,5998.38106756,115.546274012,1106330,129.674842966,4716.60684882,107.789871351,0.0503365960175,0.944773921071
2019,565782,231753.851,281308.866391,409.616868334,497.203633893,166.208975218,111.174322059,5252340.30136,890004,123.762588267,5901.47943308,113.679666559,1137274,133.301842451,4618.35960495,105.544600945,0.0507358189994,0.947292526794
2020,597771,221874.38159,267326.337669,371.16953079,447.20526367,175.606338351,99.9947277542,4852897.56995,916316,127.421494545,5296.09607379,102.018221458,1177227,137.984802328,4122.31249364,94.2083043176,0.052111319109,0.946000667485
2021,627057,230898.4073,271582.270621,368.225547757,433.106193888,184.20964501,96.8421873909,5220233.58971,945661,131.50216514,5520.19549258,106.335028369,1223537,143.412877114,4266.51060794,97.5037021931,0.0493733091612,0.949031784472
2022,655108,239638.02611,257187.718179,365.799266854,392.588272741,192.450147472,87.7824136732,4932940.04234,960661,133.588042085,5134.94358816,98.9139556479,1249134,146.413145529,3949.08796202,90.2495580032,0.0494747718402,0.948941437889
2023,682936,279678.59902,288470.27163,409.523877816,422.397225553,200.62513954,94.4476709122,5205836.89184,945199,131.43792013,5507.66229316,106.093602478,1241323,145.497604778,4193.7810641,95.8415945753,0.0524358976825,0.946276817606
