jaar,werknemersbijdragen_nominaal,werkgeversbijdragen_nominaal,totaal_nbb,aandeel_werknemers,aandeel_werkgevers,totaal_fodsz,verschil_nbb_fodsz_in_pct_van_fodsz,index_populatie_W1,werknemersbijdragen_pc_reeel_W1,index_werknemersbijdragen_pc_W1,werkgeversbijdragen_pc_reeel_W1,index_werkgeversbijdragen_pc_W1,index_populatie_W2,werknemersbijdragen_pc_reeel_W2,index_werknemersbijdragen_pc_W2,werkgeversbijdragen_pc_reeel_W2,index_werkgeversbijdragen_pc_W2
2003,12106600,23708600,35815200,0.338029663383,0.661970336617,32469268.3967,10.3049183692,100,5.84587620456,100,11.44809778,100,100,5.82126970402,100,11.3999103716,100
2004,12506700,24414200,36920900,0.338743096728,0.661256903272,33123848.6058,11.4631951118,100.880256494,5.86329279036,100.297929432,11.4456733465,99.9788223897,100.864806452,5.83950731372,100.313292643,11.399241963,99.9941367206
2005,12709200,25251400,37960600,0.334799766073,0.665200233927,34202276.4293,10.9885187862,102.092017636,5.72836647624,97.9898697097,11.3814617158,99.4179289388,102.048414473,5.70669190767,98.0317387413,11.3383973844,99.4604081504
2006,13016500,26446900,39463400,0.329837266936,0.670162733064,35153662.244,12.2597120211,103.964476001,5.66011138535,96.8222929684,11.5002035722,100.455148036,103.938287897,5.63770691599,96.8466881391,11.4546822138,100.480458534
2007,13848300,28215900,42064200,0.329218195045,0.670781804955,37103312.2216,13.3704714792,106.301514994,5.78386788594,98.9392810171,11.7846261189,102.939600494,106.276302077,5.76088877639,98.9627533047,11.7378062019,102.964021815
2008,14406900,29803000,44209900,0.325874973705,0.674125026295,38476948.7996,14.899703275,107.25376773,5.70736330047,97.6305877982,11.806602978,103.131570021,107.235475425,5.68430929759,97.6472416947,11.7589120488,103.149162279
2009,14645900,30354800,45000700,0.325459381743,0.674540618257,39261165.2367,14.6188599566,106.852227713,5.8270512501,99.6779789069,12.0770301099,105.493771472,106.836470736,5.80337978378,99.6926801,12.0279691013,105.509330418
2010,14996600,31041200,46037800,0.325745365765,0.674254634235,39580643.7984,16.3139241353,108.353612763,5.75785450049,98.4942940803,11.9180823067,104.105350389,108.349051435,5.73385987797,98.498440538,11.8684162573,104.109733063
2011,15696900,32720600,48417500,0.324198895028,0.675801104972,41462766.483,16.7734430356,109.001491142,5.7865814951,98.9857002203,12.0622809898,105.364936792,109.009998578,5.7617748786,98.9779751077,12.0105709467,105.356713826
2012,16239800,34116000,50355800,0.322501082298,0.677498917702,43343818.8941,16.1775802983,108.791180168,5.8327173909,99.7749043394,12.2531673117,107.032343251,108.796784181,5.80786710568,99.7697650337,12.2009627075,107.026830122
2013,16477400,34914500,51391900,0.320622510551,0.679377489449,44275102.8492,16.0740386646,108.430906289,5.87240276433,100.453765335,12.4432256494,108.692517207,108.447702437,5.84677893115,100.438207271,12.388930474,108.675683143
2014,16683000,35324100,52007100,0.320783123843,0.679216876157,45842493.395,13.4473632397,109.075389724,5.89051840442,100.763652844,12.4724127057,108.947468352,109.091921168,5.86483512241,100.748383439,12.4180316698,108.930958797
2015,17036600,36239600,53276200,0.319778813053,0.680221186947,47640682.7819,11.8292116927,109.828628457,5.9409573954,101.626466034,12.6373759803,110.388435032,109.861894426,5.91415934009,101.595693737,12.5803721882,110.355009628
2016,17174800,35196800,52371600,0.327941097847,0.672058902153,47640622.3422,9.9305538535,111.253480916,5.79809264657,99.1826108471,11.882194102,103.791864206,111.294913164,5.77153788089,99.1456876994,11.8277746749,103.753225151
2017,17744500,36119400,53863900,0.329432142864,0.670567857136,48995747.7283,9.93586688104,112.913257698,5.77935007902,98.8619990706,11.7640202454,102.75960663,112.970901889,5.75208705976,98.8115540462,11.7085256472,102.707172824
2018,18425500,36585100,55010600,0.334944537962,0.665055462038,49961681.0215,10.1055826691,114.55096734,5.7962078811,99.1503699066,11.50877018,100.529978003,114.623109456,5.76817775132,99.0879661071,11.4531144257,100.466705898
2019,19080800,37902100,56982900,0.334851332593,0.665148667407,51749904.1244,10.1120880591,116.098857279,5.83848027485,99.8734846676,11.5975568753,101.305536502,116.187420001,5.80947331329,99.7973570831,11.5399374485,101.22831735
2020,18851600,37351600,56203200,0.335418623851,0.664581376149,50773063.8778,10.6949151922,115.506907688,5.75505620693,98.4464262593,11.4027752243,99.6041040481,115.605510234,5.72594403073,98.362459083,11.3450938413,99.5191494623
2021,19857500,39411700,59269200,0.335039109689,0.664960890311,53722777.3722,10.3241546679,117.625587347,5.81136248947,99.4096057823,11.5339632394,100.750041282,117.752954576,5.78064187507,99.3020795975,11.4729912319,100.641065218
2022,21651300,42730100,64381400,0.336297439944,0.663702560056,58532826.3693,9.99195493097,119.11102201,5.70954158048,97.6678496206,11.2681124315,98.4278143673,119.260056282,5.67840399934,97.5457982203,11.2066606039,98.304813271
2023,23772000,46011600,69783600,0.340653104741,0.659346895259,62867871.9438,11.0004169735,116.858593234,6.14075283744,105.044181959,11.8856580538,103.822122087,117.016554716,6.10665058616,104.902382069,11.819651864,103.681971864
