bestand,variabele,label,eenheid,jaren,overgenomen_uit,oorspronkelijke_bron,bronbestand,locatie_in_bron,geraadpleegd,automatisch_geverifieerd,opmerking
data/raw/prijsindex.csv,cpi_2013,"Consumptieprijsindex, jaargemiddelde",index (2013 = 100),2003-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 2, kolommen B:W","Statbel, Consumptieprijsindex vanaf 1920 en gezondheidsindex vanaf 1994",data/sources/statbel/statbel_cpi_historiek_1920-2025.xls,"blad 'general index', rij 'Jaar/Année' per jaar, kolom basis 2013",bestand 'conv-2025',ja,Afgerond op 2 decimalen in het werkboek (Statbel publiceert meer decimalen).
data/raw/prijsindex.csv,gezondheidsindex_2013,"Gezondheidsindex, jaargemiddelde",index (2013 = 100),2003-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - gezondheidsindex'!rij 2, kolommen B:W","Statbel, Consumptieprijsindex vanaf 1920 en gezondheidsindex vanaf 1994",data/sources/statbel/statbel_cpi_historiek_1920-2025.xls,"blad 'health index', rij 'Année/Jaar' per jaar, kolom basis 2013",,ja,Enkel gebruikt voor de robuustheidscheck in voetnoot 12.
data/raw/ksz_populatie.csv,n11,n11 Werkend in loondienst,personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 2, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n11,22 december 2025 (Figuur 1) / 21 januari 2026 (voetnoot 14),nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/ksz_populatie.csv,n12,n12 Werkend als zelfstandige,personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 3, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n12,,nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/ksz_populatie.csv,n13,n13 Werkend als helper,personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 4, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n13,,nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/ksz_populatie.csv,n141,"n141 Loondienst en zelfstandige/helper, voornaamste job in loondienst",personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 5, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n141,,nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/ksz_populatie.csv,n142,"n142 Loondienst en zelfstandige/helper, voornaamste job als zelfstandige",personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 6, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n142,,nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/ksz_populatie.csv,n143,"n143 Loondienst en zelfstandige/helper, voornaamste job als helper",personen (4e kwartaal),2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Oplijsting (sub)categorieën KSZ'!rij 7, kolommen C:W","KSZ, Datawarehouse Arbeidsmarkt en Sociale Bescherming, nomenclatuur socio-economische positie, webtoepassing 'globale cijfers' (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml)","GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",positie n143,,nee (geen bronbestand),Er is geen export van de webtoepassing bewaard. Aanbevolen: de reeks opnieuw exporteren en als bestand in data/sources/ksz/ opslaan.
data/raw/fodsz_bedragen.csv,z_bijdragen,Zelfstandigen: bijdragen (code 101),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 8, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 23 (code 101), kolommen D:AC = 2000-2025",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_bedragen.csv,z_gewone_bijdragen,Zelfstandigen: gewone bijdragen (code 101.1),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 63, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 24 (code 101.1)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_bedragen.csv,z_vennootschapsbijdragen,Zelfstandigen: vennootschapsbijdragen (code 101.5),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 79, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 25 (code 101.5)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_bedragen.csv,z_uitgaven,Zelfstandigen: totaal lopende uitgaven (code 110.1),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 9, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 84 (code 110.1)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_bedragen.csv,w_bijdragen,Werknemers: bijdragen (code 101),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 35, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,"blad 'Werknemers - Salariés', rij 17 (code 101), kolommen D:AC = 2000-2025",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties. Bevat werkgevers- en werknemersbijdragen samen."
data/raw/fodsz_bedragen.csv,w_uitgaven,Werknemers: totaal lopende uitgaven (code 110.1),"duizend euro, nominaal",2003-2025,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 36, kolommen B:X","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,"blad 'Werknemers - Salariés', rij 90 (code 110.1)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,z_aandeel_bijdragen,Zelfstandigen: aandeel bijdragen in totale lopende ontvangsten,fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 3, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 23 / rij 57 (in het bronbestand ook uitgerekend in rij 58)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
