jaar,z_aandeel_bijdragen,z_aandeel_toelagen,z_aandeel_alternatieve,z_aandeel_overige,w_aandeel_bijdragen,w_aandeel_toelagen,w_aandeel_alternatieve,w_aandeel_overige
2000,0.629362015697295,0.28796942435086,0.0536776537570097,0.0289909061948355,0.723131247948479,0.121914924198093,0.0875674099754074,0.06738641787802
2001,0.642873306656291,0.292701186239421,0.0340823811801411,0.0303431259241468,0.735897157159241,0.122240940097349,0.0802536665707955,0.0616082361726143
2002,0.642429368914913,0.285555471748091,0.0407239675325362,0.0312911918044593,0.724247170507625,0.114632932102166,0.0971146778498913,0.0640052195403176
2003,0.646372481757032,0.285593516942295,0.0378761664063251,0.0301578348943485,0.722991851559557,0.11601084945294,0.0985964720458222,0.0624008269416808
2004,0.628363841466967,0.270608787445294,0.0689906351691244,0.0320367359186145,0.674823683712402,0.10772122956172,0.153166258476904,0.0642888282489748
2005,0.619821321666325,0.258575249924804,0.0890626259948661,0.0325408024140047,0.661789489149874,0.103626991394146,0.172045504841825,0.0625380146141543
2006,0.615330138912439,0.248064784961358,0.103549566453092,0.0330555096731117,0.658986869311009,0.101804140544862,0.179675112951596,0.0595338771925333
2007,0.593705837336628,0.233739366428516,0.138251262913143,0.0343035333217141,0.654911463772357,0.0974703303356915,0.184895061500886,0.0627231443910654
2008,0.598899198035579,0.230369702399502,0.14839832592687,0.0223327736380493,0.682824761430996,0.101962568501987,0.165180770477523,0.0500318995894943
2009,0.609842593793057,0.226933001616988,0.151645864917606,0.0115785396723485,0.685640036838277,0.102161958886027,0.16147565360914,0.0507223506665562
2010,0.579097184271339,0.248716759877685,0.156002118635539,0.0161839372154372,0.64409502044521,0.13196109962483,0.171204585929253,0.0527392940007064
2011,0.572698907853935,0.227182196177559,0.177365244211563,0.0227536517569426,0.639439231622333,0.10899037905838,0.196105919396287,0.0554644699229996
2012,0.576998053804241,0.270637212291834,0.144276099860576,0.00808863404334912,0.643414149447071,0.146349414274614,0.167440935086563,0.0427955011917523
2013,0.574501810032878,0.278615688003966,0.141289564523456,0.00559293743969956,0.634930534011634,0.159006485292369,0.165652984347452,0.0404099963485441
2014,0.565271337231463,0.28622558901872,0.143480217810561,0.00502285593925572,0.628349912181416,0.163020067725988,0.164088656120468,0.0445413639721282
2015,0.667108167593729,0.220080247346486,0.107210726682094,0.00560085837769062,0.749573810738374,0.124723399385332,0.0881461487679174,0.0375566411083773
2016,0.665187810179295,0.218454438465527,0.107062300971971,0.00929545038320733,0.739510115616391,0.125289066104909,0.0977865946697086,0.0374142236089908
2017,0.633131361032592,0.0533716335184467,0.306576704853177,0.00692030059578332,0.704849815596283,0.0952722855598863,0.165777301252957,0.0341005975908737
2018,0.622797160181492,0.0512529415495451,0.319876550846192,0.00607334742277121,0.709590354274044,0.0796116339442904,0.176945858993524,0.0338521527881417
2019,0.620280718954916,0.0511500724651766,0.321801239135791,0.00676796944411631,0.696516869941896,0.0916056234204926,0.178690192928176,0.033187313709436
2020,0.400596757052917,0.3683867792225,0.22833432681743,0.00268213690715253,0.621201333979923,0.17402758108216,0.176417933266123,0.0283531516717941
2021,0.43537366778031,0.296930147285565,0.264241391200781,0.00345479373334527,0.653101232766555,0.112200247356896,0.205241259082113,0.0294572607944368
2022,0.562180229507205,0.0998142369675312,0.336421568971047,0.00158396455421672,0.684253850826891,0.0869082735177727,0.201838276963864,0.0269995986914718
2023,0.546632493626181,0.122047607594481,0.325976167723485,0.00534373105585334,0.671699460915366,0.0960147499429145,0.206864260351123,0.0254215287905966
2024,0.546758412189366,0.0908497978984038,0.35469796341878,0.00769382649345012,0.66170132809651,0.0954685852123452,0.214978062691604,0.0278520239995409
