jaar,z_bijdragen,z_gewone_bijdragen,z_vennootschapsbijdragen,z_uitgaven,w_bijdragen,w_uitgaven
2003,2362746.48025,2262705.244,92272.388,3664626.77605,32469268.39665,45740071.89523
2004,2467975.58514,2353083.14336,106957.35799,3920038.39366,33123848.60579,49471194.45818
2005,2601500.774,2425876.998,162784.392,4073959.25036,34202276.42925,51489775.26256
2006,2737094.71474,2569430.60521,152960.13156,4327686.05608,35153662.244,53137694.57445
2007,2854576.087,2677901.19467,162433.16453,4522043.52976,37103312.22157,55551743.96013
2008,3244981.31613,3067203.23386,172068.3226,5204101.92942111,38476948.79958,55597964.6435008
2009,3415331.337,3236344.418,173004.176,5551179.32868124,39261165.2367,60005316.7982862
2010,3535058.107,3343015.495,185087.923,5857141.86665074,39580643.79844,62498799.4372027
2011,3602228.19851,3400758.17731,193006.84555,6175800.91914,41462766.483,65753434.1600705
2012,3746647.877,3539142.355,199484.642,6246251.46519,43343818.89406,67089304.1799133
2013,3917483.76456,3703140.70637,201195.1913,6496362.73978,44275102.84922,69743794.8649721
2014,3941423.68,3725451.811,205323.345,6775370.61,45842493.39502,73219534.0393439
2015,4194116.582,3974883.462,207944.247,6064990.466,47640682.78188,63212126.1024896
2016,4301696.935,4071313.862,214029.496,6139008.71405062,47640622.34217,65299032.636351
2017,4390940.626,4153075.916,219917.495,6679802.948,48995747.72834,68913399.0541156
2018,4485777.821,4238045.901,225798.786,6936231.215,49961681.02152,70920703.5087387
2019,4567854.734,4327094.653,231753.851,7194559.629,51749904.12444,73329306.5717547
2020,4257700.34963,4027787.3727,221874.38159,10831756.27724,50773063.8778,81169680.2455545
2021,4676583.58783,4438226.46759,230898.4073,9855311.19866342,53722777.3722199,81725543.1393982
2022,4843640.85365,4596331.51628,239638.02611,9500092.44591316,58532826.3693492,86385195.721542
2023,5333723.86821,5047179.248,279678.59902,9331502.00742,62867871.9438202,93354528.1598173
2024,5627778.50034,5322335.36615,297899.92259,10364347.8031175,65768583.0629825,99309273.8811862
2025,5751656.198,5422061.911,322394.287,10962656.6808085,68200925.7839037,105421945.608477
