jaar,z_pensioenen,z_gezinsbijslag,z_naar_riziv,z_toelagen_bedrag,z_alternatieve_bedrag,w_gezinsbijslag,w_naar_riziv,w_toelagen_bedrag,w_alternatieve_bedrag,z_btw_bedrag,z_rv_bedrag,w_btw_bedrag,w_rv_bedrag
2000,1803594.21,315979.96,92694.83,980639.516,182791.727,3112060,0,4962318.073,3564267,182791.727,0,3564267,0
2001,1867777.31,332232,95630,1013012,117956,3184620,0,5090363.041,3341927,117574,0,3333285,0
2002,1905155.863,332214.534,97308.5,1028158.5,146628.93033,3281531,0,5123453.35753,4340485,142662.17878,0,4250675,0
2003,1959123.643,328153.374,98708,1043957,138452.3342,3350560,0,5209999.808,4427927.24,123127.00183,0,4313503.24,0
2004,2023327.27433,327324.48712,99575.891,1062849,270969.12961,3418380,0,5287517,7518194.87039,246976.90402,0,7269273.09598,0
2005,2109255.036,328365.512,101106.691,1085286.5,373811.746,3510253,0,5355598.817,8891570.52429,331820,0,8389519,0
2006,2197450.87717,337372.65466,103298.081,1103435,460606.3528,3645934,0,5430743.067,9584771,347105.2248,43035,8499130,348606
2007,2310721.59032,355030.59268,106704.173,1123834,664721.01888,3735752,0,5522077.86676,10475033,535477.22658,44741.503,9063661,441382
2008,2537188.91141,390458.63795,1905890.78123111,1248199,804058.17299,3922728,18585552.722914,5745556.912,9307881.62254,734342.48447,49421.3515,8620424.3068,444792.16363
2009,2693690.83776,415233.201,2043984.61118124,1270904,849269.76215,4104666,20049086.5056,5850004.86148,9246429.58029,778082.99452,45762.36156,8524868.64906,411906.25415
2010,2805402.759,413164.08,2211414.31009074,1518274,952303.98138724,4199638,20979158,8109215.43205,10520788.88553,884241.880090741,46453.872,9793565.74782,418084.84796
2011,2952058.80494,422851.38648,2354492.351,1428957,1115612.54155117,4368511,22136037,7067196.40008,12715976.0298609,1044409.69578,48254.864,11970030.048351,434293.77566
2012,3096521.272,437262.365,2251135.519,1757341,936834.604,4538851,21534212,9858879.40609,11279717.0719371,858954,53217,10447036.6923234,478949.56
2013,3214069.89441,447124.99476,2354092.439,1899859,963442.700190478,4660831,22443788,11087872,11551347,868887.349740478,68703.1647,10646165,560975
2014,3288618,264774.004,2442520.153,1995743,1000433.404,5275945,23053652,11893447,11971407.950525,896618.85,76997.359,10829393.950525,711854
2015,3355579,0,2183974.845,1383647,674035.049169839,0,20162891,7927048.43802,5602307.14005357,579441.33,68243.04,4642438.14005357,566674
2016,3505803,0,2098700.02105062,1412721,692360.21,0,19821516.2761253,8071355.55804,6299595,551095.4,111617.34,4061191,1820668
2017,3664338,0,2449844.206,370147,2126194.0115074,0,23050372,6622597.84355,11523565.2355298,1542532.0115074,583662,8893050.2355298,2630515
2018,3802437.711,0,2519685.856,369156,2303952.60123806,0,23757451.28,5605390.54226,12458614.3425776,1674066.95383806,629885.6474,9635501.7870776,2823112.5555
2019,3913949.663,0,2603059.117,376678,2369800.10610378,0,24590612,6806126.93511,13276347.9982648,1732710.199687,637089.90641678,10317046.858199,2959301.14006585
2020,4020124.36057,0,2709689.212,3915360,2426827.2920509,0,25595362,14223912.61489,14419284.8677943,1784863.94455124,641963.347499664,11278573.9165558,3140710.95123849
2021,4190465.51602,0,2825003.54696219,3189487,2838359.42494,0,26683287.0870378,9229363.85272,16882728,2146655,693952,13591924,3290804
2022,4698858.40301,0,3096711.533,859981,2898546,0,28350576,7434356.23742313,17265763,2195864,702682,13870673.48,3395089.52
2023,5211187.64526,0,3149073.35,1190870,3180687,0,30878439,8986523.52036,19361510,2381153,799534,15714550,3646960
2024,5597803,0,3404006.584,935116,3650902.35127693,0,32809175,9488923.9447435,21367348.0352901,2468528,1182374.35127693,15418908,5948440.03529011
2025,5833430.241,0,3603257.487,965327.93,3706422.35985363,0,34620163,9581998.50946029,21869442.880608,2573252.5314,1133169.82845363,16168547.2488,5700895.63180795
