variant;groep;type;gini;kakwani;ratio
-;rapport;ZE;.3134500607765744;-.1592350071284291;.2605926458425308
-;rapport;ZV100VAA;.3134500607765744;-.1642729271402941;.2690432812938652
-;rapport;ZV100;.3134500607765744;-.1642568729070839;.2690215184727483
-;rapport;ZV75;.3134500607765744;-.0941193860205876;.2194225778451765
-;rapport;ZV50;.3134500607765744;-.0116630542980196;.1568083597137436
-;rapport;ZV00;.3134500607765744;-.3134500607765744;.0737562338126491
-;rapport;WN;.3134500607765744;.0722727839735591;.2459543393944898
A;zs_typ;ZE;.2135881146572624;.0570271584924501;.28391031833044
A;zs_typ;ZV100VAA;.2135881146572624;.0286536193760564;.3068932593165835
A;zs_typ;ZV100;.2135881146572624;.0288503100845154;.30681534899948
A;zs_typ;ZV75;.2135881146572624;.0343213916361975;.218815288852822
A;zs_typ;ZV50;.2135881146572624;-.0596086632398231;.1601854878782651
A;zs_typ;ZV00;.2135881146572624;-.2135881146572624;.1415502185238414
A;zs_alleen;ZE;.2327053988508413;.075127085965927;.2765807163312992
A;zs_alleen;ZV100VAA;.2327053988508413;.0413440969273241;.3027958486282952
A;zs_alleen;ZV100;.2327053988508413;.0421038270032379;.3023950287372814
A;zs_alleen;ZV75;.2327053988508413;.0395529828949621;.2201595868339976
A;zs_alleen;ZV50;.2327053988508413;-.078451848405163;.1708600635769223
A;zs_alleen;ZV00;.2327053988508413;-.2327053988508413;.1514669919889035
A;zs_koppel;ZE;.2047269197994914;.0503359515773494;.2864394606272862
A;zs_koppel;ZV100VAA;.2047269197994914;.024024457822526;.3083071061639996
A;zs_koppel;ZV100;.2047269197994914;.0239944432982872;.3083406185764698
A;zs_koppel;ZV75;.2047269197994914;.0327455013984759;.2183514272564959
A;zs_koppel;ZV50;.2047269197994914;-.050994161805622;.1565021335974289
A;zs_koppel;ZV00;.2047269197994914;-.2047269197994914;.1381283504303664
A;zs_koppel2;ZE;.1930284099491374;.0411513411289091;.2909194530117798
A;zs_koppel2;ZV100VAA;.1930284099491374;.0172714125398282;.3110614201004742
A;zs_koppel2;ZV100;.1930284099491374;.0168823353919147;.3112378406493713
A;zs_koppel2;ZV75;.1930284099491374;.0271396515828473;.2185825712250045
A;zs_koppel2;ZV50;.1930284099491374;-.0439021096897858;.1524831065020053
A;zs_koppel2;ZV00;.1930284099491374;-.1930284099491374;.1333652505780361
A;wn_typ;WN;.1775932913341853;.1831593226303844;.1875992407798586
A;wn_alleen;WN;.2032058462513628;.2175540993725524;.175722183581493
A;wn_koppel;WN;.1673795794714021;.1707592035267355;.1919189737488753
A;wn_koppel2;WN;.1575453703187398;.1493992562850398;.1999306091295258
