jaar,n11,n12,n13,n141,n142,n143
2003,3282810,607586,97093,134035,12693,1750
2004,3307868,610856,92569,139054,12493,1547
2005,3343796,619161,86632,144530,11939,1310
2006,3400589,628879,82724,151716,12905,1212
2007,3469911,644711,79834,162247,13229,1259
2008,3494375,658933,76299,170320,13566,1297
2009,3476291,671678,69306,174684,13780,1112
2010,3519456,684305,66188,182819,14337,1156
2011,3534952,696052,64205,189460,14867,1168
2012,3521105,710144,62184,196121,14848,1057
2013,3504422,719354,60330,200494,15212,1025
2014,3521770,730291,58925,205167,15320,1001
2015,3543376,746190,58149,209298,16002,1002
2016,3584978,762006,56592,216381,16452,1038
2017,3631146,781334,55022,226925,17236,1050
2018,3677621,797011,53891,236408,18001,1019
2019,3719648,817839,52358,247270,18790,1017
2020,3685781,845105,51145,260911,19065,1001
2021,3741208,874522,49780,277876,20364,995
2022,3781366,890990,47354,288473,21284,1033
2023,3696753,881138,41763,296124,21344,954
