scenario,groep,positie,gewicht
rapport_gelijk,werknemers,1550,0.029411764705882353
rapport_gelijk,werknemers,1800,0.029411764705882353
rapport_gelijk,werknemers,2000,0.029411764705882353
rapport_gelijk,werknemers,2250,0.029411764705882353
rapport_gelijk,werknemers,2500,0.029411764705882353
rapport_gelijk,werknemers,2750,0.029411764705882353
rapport_gelijk,werknemers,3000,0.029411764705882353
rapport_gelijk,werknemers,3250,0.029411764705882353
rapport_gelijk,werknemers,3500,0.029411764705882353
rapport_gelijk,werknemers,3750,0.029411764705882353
rapport_gelijk,werknemers,4000,0.029411764705882353
rapport_gelijk,werknemers,4250,0.029411764705882353
rapport_gelijk,werknemers,4500,0.029411764705882353
rapport_gelijk,werknemers,4750,0.029411764705882353
rapport_gelijk,werknemers,5000,0.029411764705882353
rapport_gelijk,werknemers,5250,0.029411764705882353
rapport_gelijk,werknemers,5500,0.029411764705882353
rapport_gelijk,werknemers,5750,0.029411764705882353
rapport_gelijk,werknemers,6000,0.029411764705882353
rapport_gelijk,werknemers,6250,0.029411764705882353
rapport_gelijk,werknemers,6500,0.029411764705882353
rapport_gelijk,werknemers,6750,0.029411764705882353
rapport_gelijk,werknemers,7000,0.029411764705882353
rapport_gelijk,werknemers,7500,0.029411764705882353
rapport_gelijk,werknemers,8000,0.029411764705882353
rapport_gelijk,werknemers,8500,0.029411764705882353
rapport_gelijk,werknemers,9000,0.029411764705882353
rapport_gelijk,werknemers,9500,0.029411764705882353
rapport_gelijk,werknemers,10000,0.029411764705882353
rapport_gelijk,werknemers,11000,0.029411764705882353
rapport_gelijk,werknemers,12000,0.029411764705882353
rapport_gelijk,werknemers,13000,0.029411764705882353
rapport_gelijk,werknemers,14000,0.029411764705882353
rapport_gelijk,werknemers,15000,0.029411764705882353
rapport_gelijk,zelfstandigen,1550,0.029411764705882353
rapport_gelijk,zelfstandigen,1800,0.029411764705882353
rapport_gelijk,zelfstandigen,2000,0.029411764705882353
rapport_gelijk,zelfstandigen,2250,0.029411764705882353
rapport_gelijk,zelfstandigen,2500,0.029411764705882353
rapport_gelijk,zelfstandigen,2750,0.029411764705882353
rapport_gelijk,zelfstandigen,3000,0.029411764705882353
rapport_gelijk,zelfstandigen,3250,0.029411764705882353
rapport_gelijk,zelfstandigen,3500,0.029411764705882353
rapport_gelijk,zelfstandigen,3750,0.029411764705882353
rapport_gelijk,zelfstandigen,4000,0.029411764705882353
rapport_gelijk,zelfstandigen,4250,0.029411764705882353
rapport_gelijk,zelfstandigen,4500,0.029411764705882353
rapport_gelijk,zelfstandigen,4750,0.029411764705882353
rapport_gelijk,zelfstandigen,5000,0.029411764705882353
rapport_gelijk,zelfstandigen,5250,0.029411764705882353
rapport_gelijk,zelfstandigen,5500,0.029411764705882353
rapport_gelijk,zelfstandigen,5750,0.029411764705882353
rapport_gelijk,zelfstandigen,6000,0.029411764705882353
rapport_gelijk,zelfstandigen,6250,0.029411764705882353
rapport_gelijk,zelfstandigen,6500,0.029411764705882353
rapport_gelijk,zelfstandigen,6750,0.029411764705882353
rapport_gelijk,zelfstandigen,7000,0.029411764705882353
rapport_gelijk,zelfstandigen,7500,0.029411764705882353
rapport_gelijk,zelfstandigen,8000,0.029411764705882353
rapport_gelijk,zelfstandigen,8500,0.029411764705882353
rapport_gelijk,zelfstandigen,9000,0.029411764705882353
rapport_gelijk,zelfstandigen,9500,0.029411764705882353
rapport_gelijk,zelfstandigen,10000,0.029411764705882353
rapport_gelijk,zelfstandigen,11000,0.029411764705882353
rapport_gelijk,zelfstandigen,12000,0.029411764705882353
rapport_gelijk,zelfstandigen,13000,0.029411764705882353
rapport_gelijk,zelfstandigen,14000,0.029411764705882353
rapport_gelijk,zelfstandigen,15000,0.029411764705882353
hoofd,werknemers,1550,0.10026052834335748
hoofd,werknemers,1800,0.055649777915813069
hoofd,werknemers,2000,0.068839886359790312
hoofd,werknemers,2250,0.093317963634336545
hoofd,werknemers,2500,0.10471483434769364
hoofd,werknemers,2750,0.10699639847338274
hoofd,werknemers,3000,0.10132693061934711
hoofd,werknemers,3250,0.087634758614099112
hoofd,werknemers,3500,0.070363756179236167
hoofd,werknemers,3750,0.053521791326472716
hoofd,werknemers,4000,0.039739431838769469
hoofd,werknemers,4250,0.028967701732276568
hoofd,werknemers,4500,0.020838086591928519
hoofd,werknemers,4750,0.015118249128486303
hoofd,werknemers,5000,0.010890188278812711
hoofd,werknemers,5250,0.0080768564585585526
hoofd,werknemers,5500,0.0059247004202776501
hoofd,werknemers,5750,0.0045179349654679499
hoofd,werknemers,6000,0.0035300535351303138
hoofd,werknemers,6250,0.0027233434271641513
hoofd,werknemers,6500,0.0021433961062101944
hoofd,werknemers,6750,0.0017671172059002124
hoofd,werknemers,7000,0.0029005394342209857
hoofd,werknemers,7500,0.0029627543287100992
hoofd,werknemers,8000,0.0019935482275778636
hoofd,werknemers,8500,0.0013741680922812276
