dpi,nbi_maand,bijdrage_werkboek
1550,1662.9753581666666,351.19130850000005
1800,2101.9403058333332,443.89302750000002
2000,2480.3583641666669,523.80830249999997
2250,2964.7334788333333,626.09985449999999
2500,3464.2453158333333,731.58801750000009
2750,3948.6204304999997,833.8795695
3000,4493.5424345000001,948.95756549999999
3250,5038.4644385000001,1064.0355615000001
3500,5583.3864425000002,1179.1135575000001
3750,6128.3084465000002,1294.1915535000001
4000,6696.6943482116085,1385.8056517883833
4250,7240.633839544942,1465.1994937883835
4500,7816.5697715449414,1549.2635617883834
4750,8344.5110425449166,1626.3222907883835
5000,8888.4505338782492,1705.7161327883832
5250,9427.7690797554169,1753.0642535778668
5500,9977.7690797554169,1753.0642535778668
5750,10527.769079755417,1753.0642535778668
6000,11077.769079755417,1753.0642535778668
6250,11627.769079755417,1753.0642535778668
6500,12177.769079755417,1753.0642535778668
6750,12727.769079755417,1753.0642535778668
7000,13277.769079755417,1753.0642535778668
7500,14377.769079755417,1753.0642535778668
8000,15477.769079755417,1753.0642535778668
8500,16577.769079755417,1753.0642535778668
9000,17677.769079755417,1753.0642535778668
9500,18777.769079755417,1753.0642535778668
10000,19877.769079755417,1753.0642535778668
11000,22077.769079755413,1753.0642535778668
12000,24259.435746422081,1753.0642535778668
13000,26459.435746422081,1753.0642535778668
14000,28659.435746422081,1753.0642535778668
15000,30859.435746422081,1753.0642535778668
