variant,groep,pos,w
A,wn_alleen,1550,62813.087497804197
A,wn_alleen,1800,21842.35970387523
A,wn_alleen,2000,40999.855238253243
A,wn_alleen,2250,53441.242054872942
A,wn_alleen,2500,76726.837581741274
A,wn_alleen,2750,90564.116835186083
A,wn_alleen,3000,64840.656712250529
A,wn_alleen,3250,48851.176656980591
A,wn_alleen,3500,35387.44713441249
A,wn_alleen,3750,27394.249333342759
A,wn_alleen,4000,16934.08392292861
A,wn_alleen,4250,14663.88113517815
A,wn_alleen,4500,13767.88874080194
A,wn_alleen,4750,10382.981272851879
A,wn_alleen,5000,5295.2598874569139
A,wn_alleen,5250,6360.6455770605226
A,wn_alleen,5500,4570.1936657345932
A,wn_alleen,5750,3010.265329427923
A,wn_alleen,6000,1049.3077917845951
A,wn_alleen,6250,2771.9868756011938
A,wn_alleen,6750,1428.931333189066
A,wn_alleen,7000,598.02550667587172
A,wn_alleen,7500,3129.6561688986772
A,wn_alleen,8500,2192.0938950552909
A,wn_alleen,9000,2263.3367906412382
A,wn_alleen,10000,487.81046308835249
A,wn_alleen,13000,944.19089523656737
A,wn_alleen,15000,1072.4997945279431
A,wn_koppel,1550,88826.730070911348
A,wn_koppel,1800,62222.914454002726
A,wn_koppel,2000,98366.157927771113
A,wn_koppel,2250,135496.5580052053
A,wn_koppel,2500,137230.89629341281
A,wn_koppel,2750,211752.14588266739
A,wn_koppel,3000,251207.73642382599
A,wn_koppel,3250,207284.55147573579
A,wn_koppel,3500,131710.94081747299
A,wn_koppel,3750,112347.8247330486
A,wn_koppel,4000,72185.704723906718
A,wn_koppel,4250,57074.610350193143
A,wn_koppel,4500,19008.57290249041
A,wn_koppel,4750,28235.077610255648
A,wn_koppel,5000,11119.17476807108
A,wn_koppel,5250,12872.30487669158
A,wn_koppel,5500,10656.84922314142
A,wn_koppel,5750,10149.31621347319
A,wn_koppel,6000,5209.1927764248403
A,wn_koppel,6250,9906.8070960012919
A,wn_koppel,6500,2254.338679121051
A,wn_koppel,6750,1925.1784673740999
A,wn_koppel,7000,5547.0370802204652
A,wn_koppel,7500,550.90548402809429
A,wn_koppel,8000,2117.37046619802
A,wn_koppel,9500,643.68850497870631
A,wn_koppel,12000,1115.307966032552
A,wn_koppel,13000,574.49563937646008
A,wn_koppel2,1550,30577.549723255019
A,wn_koppel2,1800,20774.852108238571
A,wn_koppel2,2000,28226.904144570031
A,wn_koppel2,2250,72265.001023311372
A,wn_koppel2,2500,69085.63118603859
A,wn_koppel2,2750,119311.4773953488
A,wn_koppel2,3000,103670.0466421046
A,wn_koppel2,3250,102671.9276623662
A,wn_koppel2,3500,69281.387605873722
A,wn_koppel2,3750,61190.500477137713
A,wn_koppel2,4000,28380.56163791574
A,wn_koppel2,4250,22997.17055553112
A,wn_koppel2,4500,5223.6837927446304
A,wn_koppel2,4750,12808.93081067339
A,wn_koppel2,5000,5693.1644415911669
A,wn_koppel2,5250,1752.187847132654
A,wn_koppel2,5500,2701.4153474971722
A,wn_koppel2,5750,2821.0587184291462
A,wn_koppel2,6000,5209.1927764248403
A,wn_koppel2,6250,2642.6612913297681
A,wn_koppel2,6500,1606.889600687166
A,wn_koppel2,7000,4475.8895790049473
A,wn_koppel2,7500,550.90548402809429
A,wn_koppel2,8000,1153.718577534647
A,wn_koppel2,12000,1115.307966032552
A,wn_koppel2,13000,574.49563937646008
A,wn_typ,1550,151639.8175687154
A,wn_typ,1800,84065.274157877982
A,wn_typ,2000,139366.01316602429
A,wn_typ,2250,188937.8000600783
A,wn_typ,2500,213957.73387515399
A,wn_typ,2750,302316.26271785359
A,wn_typ,3000,316048.39313607651
A,wn_typ,3250,256135.72813271641
A,wn_typ,3500,167098.3879518855
A,wn_typ,3750,139742.07406639139
A,wn_typ,4000,89119.788646835324
A,wn_typ,4250,71738.491485371283
A,wn_typ,4500,32776.461643292343
A,wn_typ,4750,38618.058883107529
A,wn_typ,5000,16414.434655527992
A,wn_typ,5250,19232.950453752099
A,wn_typ,5500,15227.04288887602
A,wn_typ,5750,13159.581542901111
A,wn_typ,6000,6258.5005682094361
A,wn_typ,6250,12678.793971602479
A,wn_typ,6500,2254.338679121051
A,wn_typ,6750,3354.1098005631661
A,wn_typ,7000,6145.0625868963371
A,wn_typ,7500,3680.56165292677
A,wn_typ,8000,2117.37046619802
A,wn_typ,8500,2192.0938950552909
A,wn_typ,9000,2263.3367906412382
A,wn_typ,9500,643.68850497870631
A,wn_typ,10000,487.81046308835249
A,wn_typ,12000,1115.307966032552
A,wn_typ,13000,1518.686534613028
A,wn_typ,15000,1072.4997945279431
A,zs_alleen,1550,27028.5171095572
A,zs_alleen,1800,6544.7030524369829
A,zs_alleen,2000,3778.0453236517878
A,zs_alleen,2250,5866.0631485547083
A,zs_alleen,2500,2205.2041756823819
A,zs_alleen,2750,4115.4269160752947
A,zs_alleen,3000,5466.199405244789
A,zs_alleen,3250,8065.2536290810431
A,zs_alleen,3500,1652.9010384516339
A,zs_alleen,3750,3902.9140754929399
A,zs_alleen,4000,3232.3861063478521
A,zs_alleen,4250,1093.060679228272
A,zs_alleen,4750,383.28707935776299
A,zs_alleen,5000,1447.050523962291
A,zs_alleen,5250,837.02106678838197
A,zs_alleen,5500,386.03005569365428
A,zs_alleen,6250,569.15902124018112
A,zs_alleen,7000,337.91929905788538
A,zs_alleen,7500,529.11837978657945
A,zs_koppel,1550,33098.207649923548
A,zs_koppel,1800,19024.463715163409
A,zs_koppel,2000,22446.95523121539
A,zs_koppel,2250,28183.64312659128
A,zs_koppel,2500,23711.77164486354
A,zs_koppel,2750,19853.208187759781
A,zs_koppel,3000,21476.84767315162
A,zs_koppel,3250,14018.3331317743
A,zs_koppel,3500,9287.1602431954343
A,zs_koppel,3750,15590.877255804049
A,zs_koppel,4000,3434.6048001423678
A,zs_koppel,4250,3365.2573512605841
A,zs_koppel,4500,1785.464198121455
A,zs_koppel,4750,1638.359340817459
A,zs_koppel,5000,244.21245210943081
A,zs_koppel,5250,2575.3726747976052
A,zs_koppel,5750,1123.7577846014501
A,zs_koppel,8000,1523.791848666383
A,zs_koppel,8500,1003.464348895833
A,zs_koppel,9000,466.14552146484601
A,zs_koppel,13000,574.49563937646008
A,zs_koppel2,1550,10265.70503238017
A,zs_koppel2,1800,11278.98553186547
A,zs_koppel2,2000,4731.1756751534667
A,zs_koppel2,2250,14965.25235612198
A,zs_koppel2,2500,9057.6436816618552
A,zs_koppel2,2750,11873.214973999529
A,zs_koppel2,3000,11455.50797892954
A,zs_koppel2,3250,9519.7722365600439
A,zs_koppel2,3500,2280.6438747182319
A,zs_koppel2,3750,10335.839043801559
A,zs_koppel2,4000,643.60023603071841
A,zs_koppel2,4500,1057.3653654866971
A,zs_koppel2,4750,1638.359340817459
A,zs_koppel2,5250,470.72570584952058
A,zs_koppel2,8000,560.13996000300972
A,zs_koppel2,9000,466.14552146484601
A,zs_koppel2,13000,574.49563937646008
A,zs_typ,1550,60126.724759480727
A,zs_typ,1800,25569.166767600389
A,zs_typ,2000,26225.00055486718
A,zs_typ,2250,34049.706275146003
A,zs_typ,2500,25916.975820545929
A,zs_typ,2750,23968.635103835069
A,zs_typ,3000,26943.047078396401
A,zs_typ,3250,22083.586760855349
A,zs_typ,3500,10940.061281647069
A,zs_typ,3750,19493.791331296979
A,zs_typ,4000,6666.9909064902185
A,zs_typ,4250,4458.3180304888547
A,zs_typ,4500,1785.464198121455
A,zs_typ,4750,2021.6464201752219
A,zs_typ,5000,1691.2629760717209
A,zs_typ,5250,3412.3937415859868
A,zs_typ,5500,386.03005569365428
A,zs_typ,5750,1123.7577846014501
A,zs_typ,6250,569.15902124018112
A,zs_typ,7000,337.91929905788538
A,zs_typ,7500,529.11837978657945
A,zs_typ,8000,1523.791848666383
A,zs_typ,8500,1003.464348895833
A,zs_typ,9000,466.14552146484601
A,zs_typ,13000,574.49563937646008
B,wn_alleen,1550,62813.087497804168
B,wn_alleen,1800,21842.35970387522
B,wn_alleen,2000,40999.855238253243
B,wn_alleen,2250,53441.242054872928
B,wn_alleen,2500,76726.837581741274
B,wn_alleen,2750,90564.11683518604
B,wn_alleen,3000,64840.656712250529
B,wn_alleen,3250,48851.176656980599
B,wn_alleen,3500,35387.447134412498
B,wn_alleen,3750,27394.249333342759
B,wn_alleen,4000,16934.08392292861
B,wn_alleen,4250,14663.88113517815
B,wn_alleen,4500,13767.88874080194
B,wn_alleen,4750,10382.981272851879
B,wn_alleen,5000,5295.2598874569139
B,wn_alleen,5250,6360.6455770605226
B,wn_alleen,5500,4570.1936657345932
B,wn_alleen,5750,3010.265329427923
B,wn_alleen,6000,1049.3077917845951
B,wn_alleen,6250,2771.9868756011938
B,wn_alleen,6750,1428.931333189066
B,wn_alleen,7000,598.02550667587172
B,wn_alleen,7500,3129.6561688986758
B,wn_alleen,8500,2192.0938950552909
B,wn_alleen,9000,2263.3367906412382
B,wn_alleen,10000,487.81046308835249
B,wn_alleen,13000,944.19089523656737
B,wn_alleen,15000,1072.4997945279431
B,wn_koppel,1550,252195.28443200479
B,wn_koppel,1800,50342.952862363338
B,wn_koppel,2000,70802.461912869228
B,wn_koppel,2250,53096.012808827858
B,wn_koppel,2500,66449.823292818968
B,wn_koppel,2750,82741.730139536288
B,wn_koppel,3000,97759.159231926955
B,wn_koppel,3250,136677.76648086519
B,wn_koppel,3500,115570.1855086131
B,wn_koppel,3750,107876.9365786288
B,wn_koppel,4000,100499.3583905565
B,wn_koppel,4250,101468.58114771151
B,wn_koppel,4500,55001.696542709331
B,wn_koppel,4750,44538.708936056639
B,wn_koppel,5000,51014.008901268237
B,wn_koppel,5250,59776.305772429281
B,wn_koppel,5500,38513.688623358023
B,wn_koppel,5750,24307.499245416431
B,wn_koppel,6000,36238.591250569742
B,wn_koppel,6250,20836.01909962338
B,wn_koppel,6500,10887.054475023881
B,wn_koppel,6750,8121.5184274665289
B,wn_koppel,7000,19999.12000405007
B,wn_koppel,7500,14670.816532775039
B,wn_koppel,8000,14369.20343247526
B,wn_koppel,8500,8979.826630054069
B,wn_koppel,9000,4864.4398788052831
B,wn_koppel,9500,14043.27097626172
B,wn_koppel,10000,11222.0451096376
B,wn_koppel,11000,4179.5171464951518
B,wn_koppel,12000,5547.0370802204652
B,wn_koppel,13000,550.90548402809429
B,wn_koppel,14000,2117.37046619802
B,wn_koppel,15000,2333.4921103877182
B,wn_koppel2,1550,81208.303457553295
B,wn_koppel2,1800,34483.012587523233
B,wn_koppel2,2000,28653.893784099531
B,wn_koppel2,2250,23446.90606646919
B,wn_koppel2,2500,30551.347548139929
B,wn_koppel2,2750,48160.205082592118
B,wn_koppel2,3000,56844.198927059217
B,wn_koppel2,3250,61584.082522988727
B,wn_koppel2,3500,50369.987588141659
B,wn_koppel2,3750,47290.509112009233
B,wn_koppel2,4000,63197.405674596477
B,wn_koppel2,4250,53325.012767878361
B,wn_koppel2,4500,23228.848590887032
B,wn_koppel2,4750,16604.59187134375
B,wn_koppel2,5000,33301.79526725036
B,wn_koppel2,5250,27106.134189575201
B,wn_koppel2,5500,19812.205949339659
B,wn_koppel2,5750,6267.3986187132396
B,wn_koppel2,6000,14854.333456566879
B,wn_koppel2,6250,8142.8370989642544
B,wn_koppel2,6500,1847.586516766984
B,wn_koppel2,6750,3376.0972759776459
B,wn_koppel2,7000,9739.7722447871329
B,wn_koppel2,7500,5317.7921540445432
B,wn_koppel2,8000,4385.3711294314762
B,wn_koppel2,8500,3512.7629186312301
B,wn_koppel2,9500,6715.0134812176784
