variant,groep,n_obs,posities_met_obs,posities_n_onder_10
A,wn_alleen,708,28,14
A,wn_koppel,2012,28,10
A,wn_koppel2,978,26,11
A,wn_typ,2720,32,12
A,zs_alleen,93,19,18
A,zs_koppel,275,21,11
A,zs_koppel2,140,17,11
A,zs_typ,368,25,14
B,wn_alleen,708,28,14
B,wn_koppel,2012,34,6
B,wn_koppel2,978,33,11
B,wn_typ,2720,34,5
B,zs_alleen,93,19,18
B,zs_koppel,275,29,19
B,zs_koppel2,140,22,19
B,zs_typ,368,29,17
C,wn_alleen,708,28,14
C,wn_koppel,2012,34,7
C,wn_koppel2,978,34,17
C,wn_typ,2720,34,6
C,zs_alleen,93,19,18
C,zs_koppel,275,25,20
C,zs_koppel2,140,19,16
C,zs_typ,368,25,17
