jaar,werknemersbijdragen_d613,werkgeversbijdragen_d611
2003,12106600,23708600
2004,12506700,24414200
2005,12709200,25251400
2006,13016500,26446900
2007,13848300,28215900
2008,14406900,29803000
2009,14645900,30354800
2010,14996600,31041200
2011,15696900,32720600
2012,16239800,34116000
2013,16477400,34914500
2014,16683000,35324100
2015,17036600,36239600
2016,17174800,35196800
2017,17744500,36119400
2018,18425500,36585100
2019,19080800,37902100
2020,18851600,37351600
2021,19857500,39411700
2022,21651300,42730100
2023,23772000,46011600
