jaar,cpi_2013,gezondheidsindex_2013
2003,80.03,81.4547695
2004,81.71,82.7805785
2005,83.98,84.5758185
2006,85.48,86.07129
2007,87.04,87.59205
2008,90.95,91.29114
2009,90.9,91.82865
2010,92.89,93.36459
2011,96.17,96.22119
2012,98.9,98.77005
2013,100,99.99618
2014,100.34,100.400833333333
2015,100.9,101.454166666667
2016,102.89,103.576666666667
2017,105.08,105.488333333333
2018,107.24,107.350833333333
2019,108.78,108.924166666667
2020,109.59,109.996666666667
2021,112.26,112.206666666667
2022,123.03,122.588333333333
2023,128.015833333333,127.895
2024,132.04,132.098333333333
