jaar,vennootschappen,zelfstandigen,helpers,hoofdberoep,bijberoep,actief_na_pensioen,landbouw,visserij,nijverheid,handel,vrije_beroepen,diensten,diversen
2000,306441,748899,46024,586394,145594,62905,82391,996,161084,324136,154642,69073,2601
2001,317284,748164,45317,581517,150399,61558,80888,994,158794,323204,158004,68962,2635
2002,338652,751168,44089,580317,154023,60917,79528,982,159732,322411,161116,69159,2329
2003,340404,753826,102829,640047,158094,58514,89679,1658,171573,344758,172661,73860,2466
2004,348930,761344,98373,636594,163772,59351,88269,1524,171809,343123,177892,74365,2735
2005,354953,774536,92732,636620,170357,60291,87237,1355,173807,341602,184422,75748,3097
2006,373382,791288,89334,640732,178926,60964,86575,1230,180310,339292,192329,77387,3499
2007,387861,817491,87463,652000,190268,62686,85697,1141,188398,343045,202675,79986,4012
2008,413469,839288,84658,659907,199650,64389,85451,737,192416,345014,212906,82808,4614
2009,429286,857909,76733,662039,205862,66741,80931,701,190051,340175,228142,83964,10678
2010,445941,877864,74721,669726,212665,70194,79902,665,204173,340650,241195,77393,8607
2011,464463,896917,72979,676150,219369,74377,79403,647,209403,338175,251464,78201,12603
2012,477479,917653,70914,683519,226153,78895,78730,620,215155,337360,263749,79118,13835
2013,484231,931846,69255,685495,230970,84636,79078,593,217748,335507,274420,79890,13865
2014,486320,947782,68120,692035,234001,89866,80631,564,221515,333499,286016,79932,13745
2015,500742,968122,67347,704373,237513,93583,84215,583,221564,331231,295179,85113,17584
2016,516774,992505,66017,714412,245035,99075,88664,553,234234,329048,314374,80337,11312
2017,533903,1022895,64868,722941,259173,105649,91749,569,243308,330042,329264,81256,11575
2018,551179,1049159,63487,734170,268997,109479,96658,564,251810,327090,341936,81539,13049
2019,565782,1083177,61838,747589,281210,116216,98404,553,264190,329866,359458,83818,8726
2020,597771,1122616,60131,766359,293567,122821,101529,544,276278,333457,374418,85051,11470
2021,627057,1171728,58691,786772,313530,130117,100448,527,292125,339468,393878,86797,17176
2022,655108,1200729,56627,795282,323494,138580,99831,528,301921,338621,411887,87563,17005
2023,682936,1225818,53352,798724,332676,147770,99254,512,306883,336638,428125,87616,20142
2024,707073,1249760,50065,801544,341591,156690,98415,496,309804,336439,443490,88338,22843
