bestand_in_repo,oorspronkelijk_pad (t.o.v. SharePoint-map 'Julie Vinck - UNIZO'),laatst_gewijzigd_origineel,sha256
data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,Overzicht ontvangsten & uitgaven WN's & ZN'n\A. Werknemers_2000-2025.xlsm,2026-07-30 19:33 UTC,20949ca652649560aae2f2000c5b80c52c40df22903157b8be6691c606935be2
data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,Overzicht ontvangsten & uitgaven WN's & ZN'n\B. Zelfstandigen_2000-2025.xlsm,2026-07-30 19:33 UTC,25adba104be4f80df3a2c14ed41ef8c8c224ffae612870ddd589d48e00af1468
data/sources/fodsz/fodsz_opmerkingen_bij_tabellen.docx,Overzicht ontvangsten & uitgaven WN's & ZN'n\Opmerkingen bij opgevraagde tabellen FOD SZ ontvangsten en uitgaven WN's & ZN'n.docx,2025-05-06 13:46 UTC,927eafe2b79afd052c552a8d6e372bd0fa2a4eddcd339537daafca9268a8de89
data/sources/statbel/statbel_cpi_historiek_1920-2025.xls,Macro niveau\Historiek-1920-conv-2025.xls,2026-02-09 09:16 UTC,823ed720a19b1d84a0c095335de944e7cfb6879eb8dab2695ba9865994352a79
data/sources/nbb/nbb_sociale_premies_2003-2023.xlsx,Macro niveau\NBB.Stat - werknemers- en werkgeversbijdragen.xlsx,2026-06-08 08:25 UTC,e261ecd25b327e23c5fad1bf090778b1234ffb787046591e97b709f5f51c5eeb
data/sources/rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx,Macro niveau\Samenstelling zelfstandigen.xlsx,2026-07-28 08:18 UTC,f7761d9c9b634165ae3431e1411dda836c614ed5fab36b74dc90d750736bd63e
data/sources/werkboeken/macro_analyses_willem_2026-09-16.xlsx,Macro niveau\macro analyses_unizo project_Willem.xlsx,2026-09-16 07:12 UTC,8a220a300d7364ab9dcf9da659f6f640def306ed986bb2acc2d88d9f5ba53dee
data/restricted/statbel_adi_histogram_2023.xlsx,Histogram cijfers ADI 2023.xlsx,2026-04-23 15:20 UTC,2f5e23a0a582d098c4f485b42787008423c4adb281c11223bab125afde3f2705
data/sources/micro/unizo_results_final.xlsx,Micro niveau\Unizo Results Final.xlsx,2026-09-17 06:55 UTC,eb32c7b8960b291f99b8e0ccd12f5550a3317055274c01b18370bc2abd574948
data/sources/micro/unizo.dta,Micro niveau\unizo.dta,2026-05-07 07:09 UTC,95202d67e8310daedef9b05b326df40325fec6b5970a84a3e2906e71b52b239e
data/sources/abc/abc_verslag_2022-04_solidariteit.pdf,Bronnen\ABC Verslag 2022-04.pdf,2024-10-10 08:45 UTC,bbbfcafcadfcaa7e164ab6acacb73914567fa4669a50a8e89158bc2ba2f6b470
