variabele,bron,jaren_gecontroleerd,max_abs_verschil,max_rel_verschil,tolerantie_abs,status,jaren_met_afwijking
cpi_2013,statbel/statbel_cpi_historiek_1920-2025.xls,2003-2024,0.0049999999999954525,5.497828357793669e-05,0.00501,OK,
gezondheidsindex_2013,statbel/statbel_cpi_historiek_1920-2025.xls,2003-2024,3.694822225952521e-13,3.5385300707668433e-15,1e-06,OK,
n11,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
n12,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
n13,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
n141,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
n142,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
n143,"GEEN BRONBESTAND: manueel overgenomen uit de webtoepassing, 4e kwartaal van elk jaar",,,,,NIET GEVERIFIEERD (geen bronbestand),
z_bijdragen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2003-2025,2.7939677238464355e-09,5.974377815286467e-16,0.0,OK,
z_gewone_bijdragen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2003-2025,1.862645149230957e-09,4.196823129312711e-16,0.0,OK,
z_vennootschapsbijdragen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2003-2025,0.0,0.0,0.0,OK,
z_uitgaven,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2003-2025,4.470348358154297e-08,4.313197938812549e-15,0.0,OK,
w_bijdragen,fodsz/fodsz_werknemers_2000-2025.xlsm,2003-2025,2.9802322387695312e-08,5.547427710449337e-16,0.0,OK,
w_uitgaven,fodsz/fodsz_werknemers_2000-2025.xlsm,2003-2025,4.470348358154297e-07,4.240434315978754e-15,0.0,OK,
z_aandeel_bijdragen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2000-2024,4.440892098500626e-16,7.899409949712056e-16,0.0,OK,
z_aandeel_toelagen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2000-2024,4.440892098500626e-16,1.7656198741318275e-15,0.0,OK,
z_aandeel_alternatieve,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2000-2024,4.440892098500626e-16,3.011427349462974e-15,0.0,OK,
z_aandeel_overige,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,2000-2024,7.155734338404329e-17,2.0712479212110422e-14,0.0,OK,
w_aandeel_bijdragen,fodsz/fodsz_werknemers_2000-2025.xlsm,2000-2024,4.440892098500626e-16,7.148877273087371e-16,0.0,OK,
w_aandeel_toelagen,fodsz/fodsz_werknemers_2000-2025.xlsm,2000-2024,4.85722573273506e-16,4.509070080705014e-15,0.0,OK,
w_aandeel_alternatieve,fodsz/fodsz_werknemers_2000-2025.xlsm,2000-2024,4.718447854656915e-16,2.81797748693747e-15,0.0,OK,
w_aandeel_overige,fodsz/fodsz_werknemers_2000-2025.xlsm,2000-2024,4.85722573273506e-17,1.79899923263277e-15,0.0,OK,
werknemersbijdragen_d613,nbb/nbb_sociale_premies_2003-2023.xlsx,2003-2023,1.862645149230957e-09,1.1304241866016222e-16,0.0,OK,
werkgeversbijdragen_d611,nbb/nbb_sociale_premies_2003-2023.xlsx,2003-2023,0.0,0.0,0.0,OK,
vennootschappen,Geen export bewaard; waarden in het RSVZ-werkboek (blad 'Cijfers'),2003-2023,0.0,0.0,0.0,OK,
zelfstandigen,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
helpers,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
hoofdberoep,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
bijberoep,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
actief_na_pensioen,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
landbouw,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
visserij,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
nijverheid,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
handel,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
vrije_beroepen,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
diensten,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
diversen,Geen export bewaard; waarden in het RSVZ-werkboek,,,,,NIET GEVERIFIEERD (geen bronbestand),
z_pensioenen,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_gezinsbijslag,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_naar_riziv,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_toelagen_bedrag,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_alternatieve_bedrag,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_gezinsbijslag,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_naar_riziv,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_toelagen_bedrag,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_alternatieve_bedrag,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_btw_bedrag,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
z_rv_bedrag,fodsz/fodsz_zelfstandigen_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_btw_bedrag,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
w_rv_bedrag,fodsz/fodsz_werknemers_2000-2025.xlsm,,,,,RECHTSTREEKS UIT BRON (geen controle nodig),
