variant,groep,type,gini_python,kakwani_python,ratio_python,n_obs,posities_met_obs,posities_n_onder_10,gini_stata,kakwani_stata,ratio_stata,_merge,verschil_gini,verschil_kakwani,verschil_ratio
-,rapport,WN,0.31345006077657445,0.07227278397355913,0.2459543393944898,,,,0.3134500607765744,0.0722727839735591,0.2459543393944898,both,5.551115123125783e-17,2.7755575615628914e-17,0.0
-,rapport,ZE,0.31345006077657445,-0.1592350071284292,0.26059264584253083,,,,0.3134500607765744,-0.1592350071284291,0.2605926458425308,both,5.551115123125783e-17,-8.326672684688674e-17,5.551115123125783e-17
-,rapport,ZV00,0.31345006077657445,-0.31345006077657445,0.07375623381264915,,,,0.3134500607765744,-0.3134500607765744,0.0737562338126491,both,5.551115123125783e-17,-5.551115123125783e-17,4.163336342344337e-17
-,rapport,ZV100,0.31345006077657445,-0.16425687290708404,0.26902151847274824,,,,0.3134500607765744,-0.1642568729070839,0.2690215184727483,both,5.551115123125783e-17,-1.3877787807814457e-16,-5.551115123125783e-17
-,rapport,ZV100VAA,0.31345006077657445,-0.16427292714029412,0.2690432812938652,,,,0.3134500607765744,-0.1642729271402941,0.2690432812938652,both,5.551115123125783e-17,-2.7755575615628914e-17,0.0
-,rapport,ZV50,0.31345006077657445,-0.01166305429801967,0.15680835971374366,,,,0.3134500607765744,-0.0116630542980196,0.1568083597137436,both,5.551115123125783e-17,-7.112366251504909e-17,5.551115123125783e-17
-,rapport,ZV75,0.31345006077657445,-0.0941193860205877,0.21942257784517658,,,,0.3134500607765744,-0.0941193860205876,0.2194225778451765,both,5.551115123125783e-17,-9.71445146547012e-17,8.326672684688674e-17
A,wn_alleen,WN,0.20320584625136284,0.21755409937255232,0.17572218358149297,708.0,28.0,14.0,0.2032058462513628,0.2175540993725524,0.175722183581493,both,5.551115123125783e-17,-8.326672684688674e-17,-2.7755575615628914e-17
A,wn_koppel,WN,0.16737957947140214,0.17075920352673551,0.19191897374887532,2012.0,28.0,10.0,0.1673795794714021,0.1707592035267355,0.1919189737488753,both,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17
A,wn_koppel2,WN,0.15754537031873972,0.14939925628503986,0.19993060912952576,978.0,26.0,11.0,0.1575453703187398,0.1493992562850398,0.1999306091295258,both,-8.326672684688674e-17,5.551115123125783e-17,-2.7755575615628914e-17
A,wn_typ,WN,0.17759329133418525,0.18315932263038423,0.18759924077985857,2720.0,32.0,12.0,0.1775932913341853,0.1831593226303844,0.1875992407798586,both,-5.551115123125783e-17,-1.6653345369377348e-16,-2.7755575615628914e-17
A,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.27658071633129927,93.0,19.0,18.0,0.2327053988508413,0.075127085965927,0.2765807163312992,both,-8.326672684688674e-17,1.249000902703301e-16,5.551115123125783e-17
A,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890348,93.0,19.0,18.0,0.2327053988508413,-0.2327053988508413,0.1514669919889035,both,-8.326672684688674e-17,8.326672684688674e-17,-2.7755575615628914e-17
A,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.3023950287372815,93.0,19.0,18.0,0.2327053988508413,0.0421038270032379,0.3023950287372814,both,-8.326672684688674e-17,2.0816681711721685e-17,1.1102230246251565e-16
A,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282953,93.0,19.0,18.0,0.2327053988508413,0.0413440969273241,0.3027958486282952,both,-8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17
A,zs_alleen,ZV50,0.2327053988508412,-0.07845184840516292,0.17086006357692232,93.0,19.0,18.0,0.2327053988508413,-0.078451848405163,0.1708600635769223,both,-8.326672684688674e-17,8.326672684688674e-17,2.7755575615628914e-17
A,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399764,93.0,19.0,18.0,0.2327053988508413,0.0395529828949621,0.2201595868339976,both,-8.326672684688674e-17,1.0408340855860843e-16,2.7755575615628914e-17
A,zs_koppel,ZE,0.2047269197994913,0.050335951577349436,0.2864394606272862,275.0,21.0,11.0,0.2047269197994914,0.0503359515773494,0.2864394606272862,both,-8.326672684688674e-17,3.469446951953614e-17,0.0
A,zs_koppel,ZV00,0.2047269197994913,-0.2047269197994913,0.1381283504303664,275.0,21.0,11.0,0.2047269197994914,-0.2047269197994914,0.1381283504303664,both,-8.326672684688674e-17,8.326672684688674e-17,0.0
A,zs_koppel,ZV100,0.2047269197994913,0.023994443298287232,0.30834061857646977,275.0,21.0,11.0,0.2047269197994914,0.0239944432982872,0.3083406185764698,both,-8.326672684688674e-17,3.122502256758253e-17,-5.551115123125783e-17
A,zs_koppel,ZV100VAA,0.2047269197994913,0.02402445782252599,0.3083071061639996,275.0,21.0,11.0,0.2047269197994914,0.024024457822526,0.3083071061639996,both,-8.326672684688674e-17,-1.0408340855860843e-17,0.0
A,zs_koppel,ZV50,0.2047269197994913,-0.05099416180562197,0.1565021335974289,275.0,21.0,11.0,0.2047269197994914,-0.050994161805622,0.1565021335974289,both,-8.326672684688674e-17,3.469446951953614e-17,0.0
A,zs_koppel,ZV75,0.2047269197994913,0.0327455013984759,0.21835142725649587,275.0,21.0,11.0,0.2047269197994914,0.0327455013984759,0.2183514272564959,both,-8.326672684688674e-17,0.0,-2.7755575615628914e-17
A,zs_koppel2,ZE,0.19302840994913736,0.041151341128909114,0.2909194530117798,140.0,17.0,11.0,0.1930284099491374,0.0411513411289091,0.2909194530117798,both,-2.7755575615628914e-17,1.3877787807814457e-17,0.0
A,zs_koppel2,ZV00,0.19302840994913736,-0.19302840994913736,0.13336525057803614,140.0,17.0,11.0,0.1930284099491374,-0.1930284099491374,0.1333652505780361,both,-2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17
A,zs_koppel2,ZV100,0.19302840994913736,0.016882335391914777,0.3112378406493713,140.0,17.0,11.0,0.1930284099491374,0.0168823353919147,0.3112378406493713,both,-2.7755575615628914e-17,7.632783294297951e-17,0.0
A,zs_koppel2,ZV100VAA,0.19302840994913736,0.01727141253982828,0.3110614201004742,140.0,17.0,11.0,0.1930284099491374,0.0172714125398282,0.3110614201004742,both,-2.7755575615628914e-17,7.979727989493313e-17,0.0
A,zs_koppel2,ZV50,0.19302840994913736,-0.043902109689785807,0.1524831065020053,140.0,17.0,11.0,0.1930284099491374,-0.0439021096897858,0.1524831065020053,both,-2.7755575615628914e-17,-6.938893903907228e-18,0.0
A,zs_koppel2,ZV75,0.19302840994913736,0.027139651582847313,0.21858257122500446,140.0,17.0,11.0,0.1930284099491374,0.0271396515828473,0.2185825712250045,both,-2.7755575615628914e-17,1.3877787807814457e-17,-2.7755575615628914e-17
A,zs_typ,ZE,0.21358811465726238,0.057027158492450075,0.28391031833043995,368.0,25.0,14.0,0.2135881146572624,0.0570271584924501,0.28391031833044,both,-2.7755575615628914e-17,-2.7755575615628914e-17,-5.551115123125783e-17
A,zs_typ,ZV00,0.21358811465726238,-0.21358811465726238,0.14155021852384145,368.0,25.0,14.0,0.2135881146572624,-0.2135881146572624,0.1415502185238414,both,-2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17
A,zs_typ,ZV100,0.21358811465726238,0.028850310084515385,0.30681534899948,368.0,25.0,14.0,0.2135881146572624,0.0288503100845154,0.30681534899948,both,-2.7755575615628914e-17,-1.3877787807814457e-17,0.0
A,zs_typ,ZV100VAA,0.21358811465726238,0.028653619376056427,0.30689325931658346,368.0,25.0,14.0,0.2135881146572624,0.0286536193760564,0.3068932593165835,both,-2.7755575615628914e-17,2.7755575615628914e-17,-5.551115123125783e-17
A,zs_typ,ZV50,0.21358811465726238,-0.059608663239823,0.16018548787826514,368.0,25.0,14.0,0.2135881146572624,-0.0596086632398231,0.1601854878782651,both,-2.7755575615628914e-17,9.71445146547012e-17,5.551115123125783e-17
A,zs_typ,ZV75,0.21358811465726238,0.03432139163619752,0.21881528885282198,368.0,25.0,14.0,0.2135881146572624,0.0343213916361975,0.218815288852822,both,-2.7755575615628914e-17,2.0816681711721685e-17,-2.7755575615628914e-17
B,wn_alleen,WN,0.20320584625136281,0.21755409937255235,0.17572218358149305,708.0,28.0,14.0,0.2032058462513628,0.2175540993725524,0.175722183581493,both,2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17
B,wn_koppel,WN,0.26556163990260034,0.16301565082467423,0.19421080131488594,2012.0,34.0,6.0,0.2655616399026003,0.1630156508246743,0.194210801314886,both,5.551115123125783e-17,-8.326672684688674e-17,-5.551115123125783e-17
B,wn_koppel2,WN,0.2508462379596136,0.14803520459204156,0.20249183578025085,978.0,33.0,11.0,0.2508462379596135,0.1480352045920414,0.2024918357802508,both,5.551115123125783e-17,1.6653345369377348e-16,5.551115123125783e-17
B,wn_typ,WN,0.25868977337612387,0.1789959665963109,0.18927983099612974,2720.0,34.0,5.0,0.2586897733761238,0.178995966596311,0.1892798309961297,both,5.551115123125783e-17,-1.1102230246251565e-16,5.551115123125783e-17
B,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.27658071633129927,93.0,19.0,18.0,0.2327053988508412,0.0751270859659271,0.2765807163312992,both,0.0,2.7755575615628914e-17,5.551115123125783e-17
B,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890348,93.0,19.0,18.0,0.2327053988508412,-0.2327053988508412,0.1514669919889035,both,0.0,0.0,-2.7755575615628914e-17
B,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.3023950287372815,93.0,19.0,18.0,0.2327053988508412,0.0421038270032379,0.3023950287372815,both,0.0,2.0816681711721685e-17,0.0
B,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282953,93.0,19.0,18.0,0.2327053988508412,0.0413440969273242,0.3027958486282952,both,0.0,-1.3877787807814457e-17,5.551115123125783e-17
B,zs_alleen,ZV50,0.2327053988508412,-0.0784518484051629,0.1708600635769223,93.0,19.0,18.0,0.2327053988508412,-0.0784518484051629,0.1708600635769223,both,0.0,0.0,0.0
B,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399764,93.0,19.0,18.0,0.2327053988508412,0.0395529828949621,0.2201595868339976,both,0.0,1.0408340855860843e-16,2.7755575615628914e-17
B,zs_koppel,ZE,0.31324407499547563,0.02001685479075449,0.27594894047800417,275.0,29.0,19.0,0.3132440749954756,0.0200168547907544,0.2759489404780042,both,5.551115123125783e-17,9.020562075079397e-17,-5.551115123125783e-17
B,zs_koppel,ZV00,0.31324407499547563,-0.31324407499547563,0.14134165644554714,275.0,29.0,19.0,0.3132440749954756,-0.3132440749954756,0.1413416564455471,both,5.551115123125783e-17,-5.551115123125783e-17,2.7755575615628914e-17
B,zs_koppel,ZV100,0.31324407499547563,-0.010006587961985058,0.2994518012224089,275.0,29.0,19.0,0.3132440749954756,-0.010006587961985,0.2994518012224089,both,5.551115123125783e-17,-5.898059818321144e-17,0.0
B,zs_koppel,ZV100VAA,0.31324407499547563,-0.010692389566464733,0.29986849117899883,275.0,29.0,19.0,0.3132440749954756,-0.0106923895664647,0.2998684911789988,both,5.551115123125783e-17,-3.2959746043559335e-17,5.551115123125783e-17
B,zs_koppel,ZV50,0.31324407499547563,-0.06431124207411337,0.1703636534596457,275.0,29.0,19.0,0.3132440749954756,-0.0643112420741134,0.1703636534596457,both,5.551115123125783e-17,2.7755575615628914e-17,0.0
B,zs_koppel,ZV75,0.31324407499547563,0.012622954946988674,0.22247613688253431,275.0,29.0,19.0,0.3132440749954756,0.0126229549469887,0.2224761368825343,both,5.551115123125783e-17,-2.6020852139652106e-17,2.7755575615628914e-17
B,zs_koppel2,ZE,0.291538225465496,0.020198684317169147,0.2846273070300242,140.0,22.0,19.0,0.2915382254654961,0.020198684317169,0.2846273070300243,both,-1.1102230246251565e-16,1.457167719820518e-16,-1.1102230246251565e-16
B,zs_koppel2,ZV00,0.291538225465496,-0.291538225465496,0.13360857941319002,140.0,22.0,19.0,0.2915382254654961,-0.2915382254654961,0.13360857941319,both,-1.1102230246251565e-16,1.1102230246251565e-16,2.7755575615628914e-17
B,zs_koppel2,ZV100,0.291538225465496,-0.006483043697347424,0.30551386009047443,140.0,22.0,19.0,0.2915382254654961,-0.0064830436973475,0.3055138600904745,both,-1.1102230246251565e-16,7.632783294297951e-17,-5.551115123125783e-17
B,zs_koppel2,ZV100VAA,0.291538225465496,-0.0071475828268746655,0.30601573892301526,140.0,22.0,19.0,0.2915382254654961,-0.0071475828268747,0.3060157389230153,both,-1.1102230246251565e-16,3.469446951953614e-17,-5.551115123125783e-17
B,zs_koppel2,ZV50,0.291538225465496,-0.053384970400683435,0.16457834630645435,140.0,22.0,19.0,0.2915382254654961,-0.0533849704006835,0.1645783463064544,both,-1.1102230246251565e-16,6.245004513516506e-17,-5.551115123125783e-17
B,zs_koppel2,ZV75,0.291538225465496,0.01631578637216957,0.22477829043788777,140.0,22.0,19.0,0.2915382254654961,0.0163157863721695,0.2247782904378878,both,-1.1102230246251565e-16,7.28583859910259e-17,-2.7755575615628914e-17
B,zs_typ,ZE,0.29763142234037165,0.03235840247287064,0.2761110149760054,368.0,29.0,17.0,0.2976314223403716,0.0323584024728706,0.2761110149760054,both,5.551115123125783e-17,4.163336342344337e-17,0.0
B,zs_typ,ZV00,0.29763142234037165,-0.29763142234037165,0.1439391895211222,368.0,29.0,17.0,0.2976314223403716,-0.2976314223403716,0.1439391895211222,both,5.551115123125783e-17,-5.551115123125783e-17,0.0
B,zs_typ,ZV100,0.29763142234037165,0.0013495922322880327,0.3002068508487731,368.0,29.0,17.0,0.2976314223403716,0.001349592232288,0.3002068508487731,both,5.551115123125783e-17,3.2742905609062234e-17,0.0
B,zs_typ,ZV100VAA,0.29763142234037165,0.0006463414793835831,0.3006194695308784,368.0,29.0,17.0,0.2976314223403716,0.0006463414793836,0.3006194695308784,both,5.551115123125783e-17,-1.691355389077387e-17,0.0
B,zs_typ,ZV50,0.29763142234037165,-0.06741873499067663,0.1704910015058566,368.0,29.0,17.0,0.2976314223403716,-0.0674187349906767,0.1704910015058566,both,5.551115123125783e-17,6.938893903907228e-17,0.0
B,zs_typ,ZV75,0.29763142234037165,0.019109143755983604,0.22188185382430545,368.0,29.0,17.0,0.2976314223403716,0.0191091437559836,0.2218818538243054,both,5.551115123125783e-17,3.469446951953614e-18,5.551115123125783e-17
C,wn_alleen,WN,0.20320584625136281,0.21755409937255235,0.17572218358149305,708.0,28.0,14.0,0.2032058462513628,0.2175540993725524,0.175722183581493,both,2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17
C,wn_koppel,WN,0.2809598868781425,0.24719869019655466,0.15999867735907533,2012.0,34.0,7.0,0.2809598868781425,0.2471986901965545,0.1599986773590753,both,0.0,1.6653345369377348e-16,2.7755575615628914e-17
