type,positie,netto_werkboek,netto_gecorrigeerd,verschil,bindend
ZV100,1550,1682.862893,1682.862893,0,minimum
ZV100,1800,1682.862893,1682.862893,0,minimum
ZV100,2000,1682.862893,1682.862893,0,minimum
ZV100,2250,1726.674989,1726.674989,0,-
ZV100,2500,1825.016179,1825.016179,0,-
ZV100,2750,1969.534461,1969.534461,0,-
ZV100,3000,2098.696968,2098.696968,0,-
ZV100,3250,2238.623942,2238.623942,0,-
ZV100,3500,2355.450084,2355.450084,0,-
ZV100,3750,2474.234018,2474.234018,0,-
ZV100,4000,2615.65202,2552.581949,-63.070071,maximum
ZV100,4250,2749.335752,2552.581949,-196.753803,maximum
ZV100,4500,2868.233299,2552.581949,-315.65135,maximum
ZV100,4750,2987.274033,2552.581949,-434.692084,maximum
ZV100,5000,3133.270038,2552.581949,-580.688089,maximum
ZV100,5250,3270.944668,2552.581949,-718.362719,maximum
ZV100,5500,3414.951208,2552.581949,-862.369259,maximum
ZV100,5750,3559.572963,2552.581949,-1006.991014,maximum
ZV100,6000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,6250,3627.411917,2552.581949,-1074.829968,maximum
ZV100,6500,3627.411917,2552.581949,-1074.829968,maximum
ZV100,6750,3627.411917,2552.581949,-1074.829968,maximum
ZV100,7000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,7500,3627.411917,2552.581949,-1074.829968,maximum
ZV100,8000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,8500,3627.411917,2552.581949,-1074.829968,maximum
ZV100,9000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,9500,3627.411917,2552.581949,-1074.829968,maximum
ZV100,10000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,11000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,12000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,13000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,14000,3627.411917,2552.581949,-1074.829968,maximum
ZV100,15000,3627.411917,2552.581949,-1074.829968,maximum
ZV75,1550,1682.862893,1682.862893,0,minimum
ZV75,1800,1682.862893,1682.862893,0,minimum
ZV75,2000,1682.862893,1682.862893,0,minimum
ZV75,2250,1682.862893,1682.862893,0,minimum
ZV75,2500,1682.862893,1682.862893,0,minimum
ZV75,2750,1682.862893,1682.862893,0,minimum
ZV75,3000,1726.674989,1726.674989,0,-
ZV75,3250,1788.888017,1788.888017,0,-
ZV75,3500,1897.27226,1897.27226,0,-
