indicator,gezin,risico,type,maand,rij_werkboek,max_abs_verschil
bijdrage_ratio,-,-,ZV100VAA,-,5,0
bijdrage_ratio,-,-,ZV100,-,7,0
bijdrage_ratio,-,-,ZV75,-,9,0
bijdrage_ratio,-,-,ZV50,-,11,0
bijdrage_ratio,-,-,ZV00,-,13,0
bijdrage_ratio,-,-,ZE,-,15,0
bijdrage_ratio,-,-,WN,-,17,0
vervangingsgraad,alleen,ziekte,ZS,-,87,0
vervangingsgraad,alleen,ziekte,WN,2,88,0
vervangingsgraad,alleen,ziekte,WN,3-6,89,0
vervangingsgraad,alleen,ziekte,WN,7-12,90,0
vervangingsgraad,koppel,ziekte,ZS,-,92,0
vervangingsgraad,koppel,ziekte,WN,2,93,0
vervangingsgraad,koppel,ziekte,WN,3-6,94,0
vervangingsgraad,koppel,ziekte,WN,7-12,95,0
vervangingsgraad,alleen,werkloosheid,ZS,-,98,0
vervangingsgraad,alleen,werkloosheid,WN,1-3,99,0
vervangingsgraad,alleen,werkloosheid,WN,4-6,100,0
vervangingsgraad,alleen,werkloosheid,WN,7-12,101,0
vervangingsgraad,koppel,werkloosheid,ZS,-,103,0
vervangingsgraad,koppel,werkloosheid,WN,1-3,104,0
vervangingsgraad,koppel,werkloosheid,WN,4-6,105,0
vervangingsgraad,koppel,werkloosheid,WN,7-12,106,0
vervangingsgraad,-,pensioen,ZV100,-,108,0
vervangingsgraad,-,pensioen,ZV75,-,109,0
vervangingsgraad,-,pensioen,ZV50,-,110,0
vervangingsgraad,-,pensioen,ZV00,-,111,0
vervangingsgraad,-,pensioen,ZE,-,112,0
vervangingsgraad,-,pensioen,WN,-,113,0
equivalentiegraad,alleen,ziekte,ZV100VAA,-,125,2.22e-16
equivalentiegraad,alleen,ziekte,ZV100,-,126,2.22e-16
equivalentiegraad,alleen,ziekte,ZV75,-,127,2.22e-16
equivalentiegraad,alleen,ziekte,ZV50,-,128,2.22e-16
equivalentiegraad,alleen,ziekte,ZV00,-,129,2.78e-17
equivalentiegraad,alleen,ziekte,ZE,-,130,2.22e-16
equivalentiegraad,alleen,ziekte,WN,2,131,2.22e-16
equivalentiegraad,alleen,ziekte,WN,3-6,132,2.22e-16
equivalentiegraad,alleen,ziekte,WN,7-12,133,2.22e-16
equivalentiegraad,koppel,ziekte,ZV100VAA,-,135,2.22e-16
equivalentiegraad,koppel,ziekte,ZV100,-,136,2.22e-16
equivalentiegraad,koppel,ziekte,ZV75,-,137,2.22e-16
equivalentiegraad,koppel,ziekte,ZV50,-,138,2.22e-16
equivalentiegraad,koppel,ziekte,ZV00,-,139,5.55e-17
equivalentiegraad,koppel,ziekte,ZE,-,140,2.22e-16
equivalentiegraad,koppel,ziekte,WN,2,141,2.22e-16
equivalentiegraad,koppel,ziekte,WN,3-6,142,2.22e-16
equivalentiegraad,koppel,ziekte,WN,7-12,143,2.22e-16
equivalentiegraad,alleen,werkloosheid,ZV100VAA,-,146,2.22e-16
equivalentiegraad,alleen,werkloosheid,ZV100,-,147,2.22e-16
equivalentiegraad,alleen,werkloosheid,ZV75,-,148,2.22e-16
equivalentiegraad,alleen,werkloosheid,ZV50,-,149,2.22e-16
equivalentiegraad,alleen,werkloosheid,ZV00,-,150,2.78e-17
equivalentiegraad,alleen,werkloosheid,ZE,-,151,2.22e-16
equivalentiegraad,alleen,werkloosheid,WN,1-3,152,4.44e-16
equivalentiegraad,alleen,werkloosheid,WN,4-6,153,2.22e-16
equivalentiegraad,alleen,werkloosheid,WN,7-12,154,4.44e-16
equivalentiegraad,koppel,werkloosheid,ZV100VAA,-,156,2.22e-16
equivalentiegraad,koppel,werkloosheid,ZV100,-,157,2.22e-16
equivalentiegraad,koppel,werkloosheid,ZV75,-,158,2.22e-16
equivalentiegraad,koppel,werkloosheid,ZV50,-,159,2.22e-16
equivalentiegraad,koppel,werkloosheid,ZV00,-,160,2.78e-17
equivalentiegraad,koppel,werkloosheid,ZE,-,161,2.22e-16
equivalentiegraad,koppel,werkloosheid,WN,1-3,162,4.44e-16
equivalentiegraad,koppel,werkloosheid,WN,4-6,163,2.22e-16
equivalentiegraad,koppel,werkloosheid,WN,7-12,164,4.44e-16
equivalentiegraad,-,pensioen,ZV100,-,167,1.11e-16
equivalentiegraad,-,pensioen,ZV75,-,168,1.11e-16
equivalentiegraad,-,pensioen,ZV50,-,169,1.11e-16
equivalentiegraad,-,pensioen,ZV00,-,170,2.78e-17
equivalentiegraad,-,pensioen,ZE,-,171,1.11e-16
equivalentiegraad,-,pensioen,WN,-,172,2.22e-16
garantiegraad,alleen,ziekte,ZS,-,195,0
garantiegraad,alleen,ziekte,WN,2,196,0
garantiegraad,alleen,ziekte,WN,3-6,197,0
garantiegraad,alleen,ziekte,WN,7-12,198,0
garantiegraad,alleen,werkloosheid,ZS,-,218,0
garantiegraad,alleen,werkloosheid,WN,1-3,219,0
garantiegraad,alleen,werkloosheid,WN,4-6,220,0
garantiegraad,alleen,werkloosheid,WN,7-12,221,0
garantiegraad,-,pensioen,ZV100,-,239,0
garantiegraad,-,pensioen,ZV75,-,240,0
garantiegraad,-,pensioen,ZV50,-,241,0
garantiegraad,-,pensioen,ZV00,-,242,0
garantiegraad,-,pensioen,ZE,-,243,0
garantiegraad,-,pensioen,WN,-,244,0
garantiegraad,koppel_laag,ziekte,ZV100VAA,-,200,0
garantiegraad,koppel_laag,ziekte,ZV75,-,201,0
garantiegraad,koppel_laag,ziekte,ZV50,-,202,0
garantiegraad,koppel_laag,ziekte,ZV00,-,203,0
garantiegraad,koppel_laag,ziekte,ZE,-,204,0
garantiegraad,koppel_laag,ziekte,WN,2,205,0
garantiegraad,koppel_laag,ziekte,WN,3-6,206,0
garantiegraad,koppel_laag,ziekte,WN,7-12,207,0
garantiegraad,koppel_laag,werkloosheid,ZV100VAA,-,223,0
garantiegraad,koppel_laag,werkloosheid,ZV50,-,224,0
garantiegraad,koppel_laag,werkloosheid,ZV00,-,225,0
garantiegraad,koppel_laag,werkloosheid,ZE,-,226,0
garantiegraad,koppel_laag,werkloosheid,WN,1-3,227,0
garantiegraad,koppel_laag,werkloosheid,WN,4-6,228,0
garantiegraad,koppel_laag,werkloosheid,WN,7-12,229,0
garantiegraad,koppel_gem,ziekte,ZV100VAA,-,209,0
garantiegraad,koppel_gem,werkloosheid,ZV100VAA,-,231,0
garantiegraad,koppel_gem,ziekte,ZV50,-,210,0
garantiegraad,koppel_gem,werkloosheid,ZV50,-,232,0
garantiegraad,koppel_gem,ziekte,ZV00,-,211,0
garantiegraad,koppel_gem,werkloosheid,ZV00,-,233,0
garantiegraad,koppel_gem,ziekte,ZE,-,212,0
garantiegraad,koppel_gem,werkloosheid,ZE,-,234,0
garantiegraad,koppel_gem,ziekte,WN,2,213,0
garantiegraad,koppel_gem,ziekte,WN,3-6,214,0
garantiegraad,koppel_gem,ziekte,WN,7-12,215,0
garantiegraad,koppel_gem,werkloosheid,WN,1-3,235,0
garantiegraad,koppel_gem,werkloosheid,WN,4-6,236,0
garantiegraad,koppel_gem,werkloosheid,WN,7-12,237,0
