figuur,titel,noot,bron,bestand,sectie,citatie,licentie
Figuur 1,"Evolutie van de zelfstandigen en loontrekkenden in de werkende populatie, België, 2003-2023",populaties worden bepaald aan de hand van definities Z1 en W1 (zie Tabel 5). Werkende bevolking = Z1 + W1. In (B) zijn de aantallen voor 2003 gelijkgesteld aan 100.,eigen bewerking op basis van de webtoepassing ‘globale cijfers’ (https://sami.ksz-bcss.fgov.be/samigc/homePage.xhtml) van de Kruispuntbank van de Sociale Zekerheid (KSZ) (geraadpleegd op 22 december 2025).,fig01_werkende_bevolking,02_context,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 2,"Evolutie samenstelling zelfstandigenpopulatie, naar ondernemingsvorm, aard van de activiteit en sector, België, 2003-2023",in (A) is het aantal vennootschappen van 2003 gelijkgesteld aan 100. In (B) en (C): aandelen in het totaal aantal zelfstandigen en helpers.,eigen bewerking op basis van de statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl) van het RSVZ (geraadpleegd op 24 oktober 2025).,fig02_samenstelling_zelfstandigen,02_context,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 3,"Inkomensverdeling werknemers en zelfstandigen, 2023","jaarinkomens van minstens €84.000 worden samengenomen. Werknemers en zelfstandigen worden onderscheiden op basis van de bron van hun beroepsinkomsten. Personen met gecombineerde inkomens worden toegewezen aan de categorie die het grootste aandeel van het beroepsinkomen vertegenwoordigt. Het administratief netto beschikbaar jaarinkomen tracht het inkomensconcept waarop de officiële armoedecijfers gebaseerd zijn, zo goed mogelijk te benaderen met administratieve gegevens. Voor meer informatie, zie <https://statbel.fgov.be/nl/themas/datalab/administratief-beschikbaar-inkomen#documents>.","Statbel (persoonlijke communicatie, 25 november 2025).",fig03_inkomensverdeling,02_context,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 4,"Beroepssolidariteit: reële bijdragen en uitgaven per capita en hun verhouding, zelfstandigen en werknemers, populatiedefinities Z1 en W1, België, 2003-2023","bijdragen en uitgaven gecorrigeerd voor inflatie op basis van de consumptieprijsindex (prijzen van 2024) en gedeeld door het aantal verzekerden volgens de definities Z1 en W1 (Tabel 5). In (A) en (B) zijn de waarden van 2003 gelijkgesteld aan 100. Bijlage 4 toont de resultaten voor Z2 en W2. Grijze banden: tax shift (2016-2018) en coronacrisis (2020-2022). (1) 2015: zesde staatshervorming, de gezinsbijslag verdwijnt uit de federale rekeningen van de sociale zekerheid (breuk in de uitgavenreeks). (2) 2017: hervorming van de financiering van de sociale zekerheid (wet van 18 april 2017).","eigen berekeningen op basis van FOD Sociale Zekerheid (persoonlijke communicatie, 18 april 2025), KSZ (2026) en Statbel (2026a).",fig04_beroepssolidariteit_Z1_W1,06-1_macro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 5,"Beroepssolidariteit binnen het zelfstandigenstelsel: vennootschappen en zelfstandigen, evolutie van het aantal en van de reële bijdragen, populatiedefinitie Z1, België, 2003-2023","bijdragen gecorrigeerd voor inflatie op basis van de consumptieprijsindex (prijzen van 2024). Vennootschapsbijdragen gedeeld door het aantal actieve vennootschappen, gewone bijdragen gedeeld door het aantal zelfstandigen volgens definitie Z1. De waarden van 2003 zijn gelijkgesteld aan 100. Bijlage 4 toont de resultaten voor Z2. Grijze banden en genummerde lijnen: zie Figuur 4.","eigen berekeningen op basis van FOD Sociale Zekerheid (persoonlijke communicatie, 18 april 2025), RSVZ (statistiekendatabase, geraadpleegd op 24 oktober 2025), KSZ (2026) en Statbel (2026a).",fig05_vennootschappen_Z1,06-1_macro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 6,"Nationale solidariteit: aandeel in de inkomsten en evolutie, zelfstandigen en werknemers, België, 2000-2023",nationale solidariteit is het gezamenlijke aandeel van de toelagen van publieke overheden en de alternatieve financiering in de totale lopende ontvangsten. In (B) is de waarde van 2000 gelijkgesteld aan 100. Grijze banden en genummerde lijnen: zie Figuur 4.,"eigen berekeningen op basis van FOD Sociale Zekerheid (persoonlijke communicatie, 18 april 2025).",fig06_nationale_solidariteit,06-1_macro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 7,"Nationale solidariteit: inkomstenstructuur van de sociale zekerheid naar financieringsbron, zelfstandigen en werknemers, België, 2000-2023","aandelen in de totale lopende ontvangsten. Overige financiering omvat toegewezen ontvangsten, externe overdrachten, opbrengsten van beleggingen en diverse ontvangsten. (1) 2015: zesde staatshervorming. (2) 2017: hervorming van de financiering van de sociale zekerheid.","eigen berekeningen op basis van FOD Sociale Zekerheid (persoonlijke communicatie, 18 april 2025).",fig07_inkomstenstructuur,06-1_macro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 8,"Verticale solidariteit: sociale bijdragen in verhouding tot het netto beschikbaar maandinkomen, zelfstandigen en werknemers, 2024","sociale bijdragen van zelfstandigen zijn de eigen sociale bijdragen (inclusief 3,05% beheerskosten van het sociaal verzekeringsfonds) plus, bij een vennootschap, de vennootschapsbijdrage (laagste bedrag, €387,34 per jaar). Bij werknemers worden enkel de werknemersbijdragen meegenomen, na de sociale werkbonus. De scenario’s ‘vennootschap 100% loon met voordelen van alle aard’ en ‘vennootschap 100% loon’ lopen gelijk; enkel het tweede wordt getoond. Omdat het gezinstype geen invloed heeft op de betaalde sociale bijdragen, zijn de resultaten gelijk voor alleenstaanden en koppels met kinderen. De inkomensposities staan op schaal.",eigen berekeningen op basis van microsimulaties met Viren en EUROMOD.,fig08_bijdragen_draagkracht,06-2_micro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 9,"Horizontale solidariteit: equivalentiegraad tussen bijdragen en uitkering, primaire arbeidsongeschiktheid (A), werkloosheid/overbruggingsrecht (B) en pensioen (C), alleenstaanden, zelfstandigen en werknemers, naar netto beschikbaar inkomen, 2024",bij panel A is er voor werknemers geen verschil naargelang de uitkeringsmaand; getoond wordt maand 2. Bij panel B zijn er slechts kleine verschillen; getoond wordt maand 1-3. Vennootschap met 100% loon met voordelen van alle aard loopt gelijk met die zonder en wordt niet getoond. De horizontale lijn op 100% markeert volledige equivalentie. Pensioenen zoals gesimuleerd; zie §5.2.2.1 voor de assumpties.,eigen berekeningen op basis van microsimulaties met Viren en EUROMOD.,fig09_equivalentiegraad_alleenstaanden,06-2_micro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
Figuur 10,"Horizontale solidariteit: vervangingsgraad, primaire arbeidsongeschiktheid (A), werkloosheid/overbruggingsrecht (B) en pensioen (C), alleenstaanden, zelfstandigen en werknemers, naar netto beschikbaar inkomen, 2024",vervangingsgraad = netto uitkering / netto beschikbaar maandinkomen vóór het risico. De uitkering van zelfstandigen bij arbeidsongeschiktheid en overbruggingsrecht is forfaitair en gelijk voor alle rechtsvormen. Werknemer bij arbeidsongeschiktheid: maand 3-6 loopt vanaf €2.000 gelijk met maand 2 en 7-12. De horizontale lijn op 100% markeert volledig behoud van de levensstandaard.,eigen berekeningen op basis van microsimulaties met Viren en EUROMOD.,fig10_vervangingsgraad_alleenstaanden,06-2_micro,"Van Lancker, W., Vinck, J., Goris, W., & Van Havere, T. (2026). Hoe solidair is de sociale zekerheid voor zelfstandigen? Leuven: KU Leuven, ReSPOND.",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.nl)
