jaar,Z1,W1,aandeel_zelfstandigen_Z1,index_Z1,index_W1
2003,719122,3416845,0.17387,100,100
2004,717465,3446922,0.172286,99.7696,100.88
2005,719042,3488326,0.170901,99.9889,102.092
2006,725720,3552305,0.169639,100.918,103.964
2007,739033,3632158,0.169069,102.769,106.302
2008,750095,3664695,0.169905,104.307,107.254
2009,755876,3650975,0.171523,105.111,106.852
2010,765986,3702275,0.171428,106.517,108.354
2011,776292,3724412,0.172482,107.95,109.001
2012,788233,3717226,0.174951,109.61,108.791
2013,795921,3704916,0.176838,110.68,108.431
2014,805537,3726937,0.177726,112.017,109.075
2015,821343,3752674,0.179567,114.215,109.829
2016,836088,3801359,0.180291,116.265,111.253
2017,854642,3858071,0.181348,118.845,112.913
2018,869922,3914029,0.181842,120.97,114.551
2019,890004,3966918,0.183244,123.763,116.099
2020,916316,3946692,0.188426,127.421,115.507
2021,945661,4019084,0.190475,131.502,117.626
2022,960661,4069839,0.190967,133.588,119.111
2023,945199,3992877,0.19141,131.438,116.859
