jaar,vennootschappen,index_vennootschappen,aandeel_hoofdberoep,aandeel_bijberoep,aandeel_actief_na_pensioen,aandeel_landbouw_visserij,aandeel_nijverheid,aandeel_handel,aandeel_vrije_beroepen,aandeel_diensten,aandeel_diversen
2003,340404,100,0.747147,0.184548,0.0683052,0.106621,0.200282,0.402447,0.201553,0.0862191,0.00287864
2004,348930,102.505,0.740469,0.190495,0.0690355,0.104445,0.199844,0.399112,0.206919,0.0864994,0.00318128
2005,354953,104.274,0.734052,0.196429,0.0695183,0.102151,0.200407,0.393883,0.212647,0.0873409,0.00357098
2006,373382,109.688,0.72759,0.203181,0.0692283,0.0997079,0.204753,0.385287,0.218401,0.0878777,0.00397333
2007,387861,113.941,0.720479,0.210252,0.0692698,0.0959585,0.208185,0.379075,0.223962,0.0883868,0.00443337
2008,413469,121.464,0.714227,0.216084,0.0696891,0.0932825,0.208255,0.373414,0.230431,0.0896243,0.0049938
2009,429286,126.111,0.708334,0.220258,0.0714081,0.0873404,0.203341,0.363963,0.244096,0.0898355,0.0114247
2010,445941,131.003,0.703062,0.22325,0.0736879,0.0845772,0.214336,0.357606,0.253201,0.0812452,0.00903541
2011,464463,136.445,0.697137,0.226178,0.0766855,0.0825346,0.215903,0.348671,0.259269,0.0806282,0.0129942
2012,477479,140.268,0.691424,0.228769,0.0798074,0.0802677,0.217643,0.341262,0.266799,0.080033,0.013995
2013,484231,142.252,0.684741,0.230716,0.0845429,0.0795834,0.217509,0.335138,0.274118,0.0798021,0.0138498
2014,486320,142.866,0.681203,0.230338,0.0884593,0.079924,0.218048,0.328279,0.281539,0.0786808,0.0135298
2015,500742,147.102,0.680245,0.229377,0.0903774,0.0818933,0.213975,0.319885,0.285068,0.0821975,0.0169817
2016,516774,151.812,0.674915,0.231488,0.0935975,0.0842845,0.221284,0.310856,0.296993,0.0758954,0.0106866
2017,533903,156.844,0.664613,0.238262,0.097125,0.0848696,0.223677,0.303414,0.302698,0.0747001,0.0106411
2018,551179,161.919,0.659841,0.241763,0.0983952,0.0873791,0.226316,0.293975,0.307318,0.0732839,0.0117279
2019,565782,166.209,0.652908,0.245595,0.101497,0.0864242,0.230731,0.288089,0.313933,0.0732025,0.00762086
2020,597771,175.606,0.647948,0.248208,0.103844,0.0863016,0.23359,0.281934,0.316566,0.0719097,0.00969776
2021,627057,184.21,0.639434,0.254816,0.10575,0.0820655,0.237419,0.275896,0.320117,0.0705426,0.0139595
2022,655108,192.45,0.632503,0.257281,0.110215,0.0798175,0.240124,0.269312,0.327582,0.0696406,0.0135244
2023,682936,200.625,0.624408,0.260072,0.11552,0.0779928,0.239908,0.263169,0.33469,0.0684944,0.0157461
