ondergrens_eur,werknemers,zelfstandigen
7000,0.0656995,0.23122
8000,0.152582,0.560777
9000,0.175497,0.694278
10000,0.215893,0.808778
11000,0.284519,0.939318
12000,0.392744,1.1223
13000,0.531867,1.29614
14000,0.674853,1.48208
15000,0.888675,1.70689
16000,1.10439,1.90479
17000,1.2801,2.08382
18000,1.48521,2.34441
19000,1.67104,2.51505
20000,1.83831,2.66002
21000,1.98335,2.8166
22000,2.1461,2.93739
23000,2.334,3.00636
24000,2.54593,3.10322
25000,2.70425,3.17836
26000,2.91638,3.2266
27000,3.1138,3.30482
28000,3.30162,3.29323
29000,3.42065,3.30297
30000,3.50865,3.25066
31000,3.54218,3.12382
32000,3.57176,3.03276
33000,3.56798,2.91839
34000,3.5599,2.83202
35000,3.47347,2.64694
36000,3.39067,2.47581
37000,3.26855,2.31874
38000,3.08451,2.16637
39000,2.93334,1.95254
40000,2.74562,1.84693
41000,2.54572,1.68048
42000,2.34915,1.56759
43000,2.1415,1.42853
44000,1.95587,1.30305
45000,1.78348,1.22754
46000,1.61282,1.11761
47000,1.46637,1.02976
48000,1.31624,0.923895
49000,1.19133,0.854923
50000,1.07695,0.766334
51000,0.960905,0.700201
52000,0.858911,0.637398
53000,0.774139,0.57509
54000,0.694623,0.543504
55000,0.615047,0.502417
56000,0.564578,0.472188
57000,0.497783,0.405561
58000,0.449464,0.389768
59000,0.403216,0.346584
60000,0.361188,0.325362
61000,0.324615,0.292789
62000,0.29734,0.276132
63000,0.262798,0.251579
64000,0.247548,0.234182
65000,0.218102,0.225421
66000,0.193057,0.192108
67000,0.181311,0.185322
68000,0.160844,0.169282
69000,0.153159,0.174341
70000,0.13779,0.155586
71000,0.130722,0.146456
72000,0.11597,0.129429
73000,0.106314,0.121656
74000,0.0958416,0.1145
75000,0.0931141,0.116104
76000,0.0833786,0.103148
77000,0.0761119,0.0996938
78000,0.0709554,0.0882191
79000,0.0672723,0.0916738
80000,0.0643059,0.0861216
81000,0.0611005,0.0793355
82000,0.0513053,0.0787186
83000,0.0503696,0.0763743
84000,1.26326,2.62967
