jaar,Z1_bijdragen_pc_reeel,Z1_uitgaven_pc_reeel,Z1_index_bijdragen_pc,Z1_index_uitgaven_pc,Z1_ratio_bijdragen_uitgaven,W1_bijdragen_pc_reeel,W1_uitgaven_pc_reeel,W1_index_bijdragen_pc,W1_index_uitgaven_pc,W1_ratio_bijdragen_uitgaven
2003,5.42085,8.40775,100,100,0.644744,15.6783,22.0864,100,100,0.709865
2004,5.55866,8.82917,102.542,105.012,0.629579,15.5289,23.1927,99.0466,105.009,0.669558
2005,5.68852,8.90824,104.938,105.953,0.638568,15.4159,23.2078,98.3258,105.077,0.664254
2006,5.82588,9.21144,107.472,109.559,0.632461,15.2863,23.1065,97.4993,104.619,0.661558
2007,5.85955,9.28234,108.093,110.402,0.631258,15.4965,23.2017,98.8404,105.05,0.667905
2008,6.28057,10.0724,115.859,119.799,0.623543,15.2428,22.0254,97.2223,99.724,0.692057
2009,6.56333,10.6678,121.076,126.881,0.615244,15.6205,23.8739,99.6314,108.093,0.654295
2010,6.56013,10.8693,121.017,129.277,0.603547,15.1968,23.996,96.9283,108.646,0.633302
2011,6.37106,10.9228,117.529,129.913,0.583281,15.285,24.2397,97.4915,109.749,0.630579
2012,6.34596,10.5797,117.066,125.833,0.599823,15.5674,24.0959,99.2927,109.099,0.646062
2013,6.49894,10.7772,119.888,128.182,0.603027,15.7793,24.8561,100.644,112.54,0.634825
2014,6.43871,11.0683,118.777,131.643,0.581728,16.1863,25.8527,103.24,117.053,0.626096
2015,6.68237,9.66318,123.272,114.932,0.691529,16.6131,22.0432,105.962,99.8044,0.753664
2016,6.60268,9.42277,121.802,112.072,0.700715,16.0831,22.0445,102.582,99.8104,0.729576
2017,6.45593,9.82121,119.094,116.811,0.657346,15.9578,22.445,101.783,101.624,0.710976
2018,6.34901,9.8173,117.122,116.765,0.646717,15.7167,22.3099,100.245,101.012,0.704472
2019,6.22984,9.81225,114.924,116.705,0.634904,15.8348,22.4378,100.998,101.591,0.705719
2020,5.59841,14.2426,103.275,169.398,0.393076,15.5001,24.7797,98.8632,112.194,0.625518
2021,5.81666,12.2579,107.302,145.793,0.474524,15.7221,23.9172,100.279,108.29,0.657356
2022,5.41123,10.6133,99.8226,126.233,0.509852,15.4354,22.7802,98.4503,103.141,0.677579
2023,5.82035,10.1829,107.37,121.113,0.571583,16.2399,24.1152,103.582,109.186,0.673431
