jaar,index_aantal_vennootschappen,index_vb_per_vennootschap,index_populatie_Z1,index_gewone_bijdragen_pc_Z1,vb_per_vennootschap_reeel_eur,gewone_bijdragen_pc_reeel_Z1
2003,100,100,100,100,447.229,5191.32
2004,102.505,110.757,99.7696,102.091,495.339,5299.89
2005,104.274,161.228,99.9889,102.18,721.06,5304.5
2006,109.688,141.493,100.918,105.349,632.799,5469.01
2007,113.941,142.055,102.769,105.886,635.309,5496.89
2008,121.464,135.092,104.307,114.354,604.172,5936.48
2009,126.111,130.895,105.111,119.803,585.398,6219.36
2010,131.003,131.919,106.517,119.502,589.98,6203.75
2011,136.445,127.573,107.95,115.861,570.542,6014.74
2012,140.268,124.72,109.61,115.471,557.782,5994.5
2013,142.252,122.671,110.68,118.339,548.619,6143.36
2014,142.866,124.228,112.017,117.232,555.581,6085.9
2015,147.102,121.512,114.215,121.993,543.435,6333.07
2016,151.812,118.844,116.265,120.375,531.503,6249.06
2017,156.844,115.732,118.845,117.623,517.586,6106.2
2018,161.919,112.784,120.97,115.546,504.403,5998.38
2019,166.209,111.174,123.763,113.68,497.204,5901.48
2020,175.606,99.9947,127.421,102.018,447.205,5296.1
2021,184.21,96.8422,131.502,106.335,433.106,5520.2
2022,192.45,87.7824,133.588,98.914,392.588,5134.94
2023,200.625,94.4477,131.438,106.094,422.397,5507.66
