jaar,z_nationale_solidariteit,w_nationale_solidariteit,z_index_nationale_solidariteit,w_index_nationale_solidariteit
2000,0.341647,0.209482,100,100
2001,0.326784,0.202495,95.6495,96.6643
2002,0.326279,0.211748,95.5019,101.081
2003,0.32347,0.214607,94.6795,102.447
2004,0.339599,0.260887,99.4007,124.539
2005,0.347638,0.275672,101.754,131.597
2006,0.351614,0.281479,102.917,134.369
2007,0.371991,0.282365,108.882,134.792
2008,0.378768,0.267143,110.865,127.525
2009,0.378579,0.263638,110.81,125.852
2010,0.404719,0.303166,118.461,144.721
2011,0.404547,0.305096,118.411,145.643
2012,0.414913,0.31379,121.445,149.793
2013,0.419905,0.324659,122.906,154.982
2014,0.429706,0.327109,125.775,156.151
2015,0.327291,0.21287,95.798,101.617
2016,0.325517,0.223076,95.2787,106.489
2017,0.359948,0.26105,105.357,124.617
2018,0.371129,0.256557,108.629,122.472
2019,0.372951,0.270296,109.163,129.03
2020,0.596721,0.350446,174.66,167.291
2021,0.561172,0.317442,164.255,151.536
2022,0.436236,0.288747,127.686,137.838
2023,0.448024,0.302879,131.136,144.585
