jaar,z_aandeel_bijdragen,z_aandeel_toelagen,z_aandeel_alternatieve,z_aandeel_overige,w_aandeel_bijdragen,w_aandeel_toelagen,w_aandeel_alternatieve,w_aandeel_overige
2000,0.629362,0.287969,0.0536777,0.0289909,0.723131,0.121915,0.0875674,0.0673864
2001,0.642873,0.292701,0.0340824,0.0303431,0.735897,0.122241,0.0802537,0.0616082
2002,0.642429,0.285555,0.040724,0.0312912,0.724247,0.114633,0.0971147,0.0640052
2003,0.646372,0.285594,0.0378762,0.0301578,0.722992,0.116011,0.0985965,0.0624008
2004,0.628364,0.270609,0.0689906,0.0320367,0.674824,0.107721,0.153166,0.0642888
2005,0.619821,0.258575,0.0890626,0.0325408,0.661789,0.103627,0.172046,0.062538
2006,0.61533,0.248065,0.10355,0.0330555,0.658987,0.101804,0.179675,0.0595339
2007,0.593706,0.233739,0.138251,0.0343035,0.654911,0.0974703,0.184895,0.0627231
2008,0.598899,0.23037,0.148398,0.0223328,0.682825,0.101963,0.165181,0.0500319
2009,0.609843,0.226933,0.151646,0.0115785,0.68564,0.102162,0.161476,0.0507224
2010,0.579097,0.248717,0.156002,0.0161839,0.644095,0.131961,0.171205,0.0527393
2011,0.572699,0.227182,0.177365,0.0227537,0.639439,0.10899,0.196106,0.0554645
2012,0.576998,0.270637,0.144276,0.00808863,0.643414,0.146349,0.167441,0.0427955
2013,0.574502,0.278616,0.14129,0.00559294,0.634931,0.159006,0.165653,0.04041
2014,0.565271,0.286226,0.14348,0.00502286,0.62835,0.16302,0.164089,0.0445414
2015,0.667108,0.22008,0.107211,0.00560086,0.749574,0.124723,0.0881461,0.0375566
2016,0.665188,0.218454,0.107062,0.00929545,0.73951,0.125289,0.0977866,0.0374142
2017,0.633131,0.0533716,0.306577,0.0069203,0.70485,0.0952723,0.165777,0.0341006
2018,0.622797,0.0512529,0.319877,0.00607335,0.70959,0.0796116,0.176946,0.0338522
2019,0.620281,0.0511501,0.321801,0.00676797,0.696517,0.0916056,0.17869,0.0331873
2020,0.400597,0.368387,0.228334,0.00268214,0.621201,0.174028,0.176418,0.0283532
2021,0.435374,0.29693,0.264241,0.00345479,0.653101,0.1122,0.205241,0.0294573
2022,0.56218,0.0998142,0.336422,0.00158396,0.684254,0.0869083,0.201838,0.0269996
2023,0.546632,0.122048,0.325976,0.00534373,0.671699,0.0960147,0.206864,0.0254215
