netto_beschikbaar_maandinkomen,bijdrage_ratio | Werknemer,bijdrage_ratio | Eenmanszaak,bijdrage_ratio | Venn. 100% loon,bijdrage_ratio | Venn. 75% loon,bijdrage_ratio | Venn. 50% loon,bijdrage_ratio | Venn. 0% loon
1550,0,0.226575,0.270686,0.212332,0.212332,0.212332
1800,0,0.246607,0.282162,0.192513,0.182841,0.182841
2000,0.000755,0.261904,0.292165,0.202987,0.164557,0.164557
2250,0.0783333,0.278267,0.304999,0.206856,0.146273,0.146273
2500,0.21078,0.292635,0.311869,0.213349,0.131646,0.131646
2750,0.222196,0.303229,0.320578,0.221749,0.130332,0.119678
3000,0.232517,0.316319,0.327835,0.228749,0.133626,0.109705
3250,0.240615,0.327396,0.33659,0.232059,0.137459,0.101266
3500,0.249414,0.33689,0.344093,0.237323,0.140744,0.0940325
3750,0.255696,0.345118,0.348332,0.241885,0.143138,0.0877637
4000,0.259147,0.346451,0.349975,0.245877,0.146083,0.0822785
4250,0.2636,0.344753,0.346906,0.251397,0.14948,0.0774386
4500,0.267558,0.344281,0.344178,0.254417,0.152499,0.0731364
4750,0.26984,0.342384,0.34185,0.258907,0.153413,0.0692871
5000,0.27309,0.341143,0.341315,0.262947,0.155934,0.0658228
5250,0.274891,0.333917,0.339619,0.263102,0.158215,0.0626884
5500,0.277615,0.318739,0.324608,0.261295,0.158745,0.0598389
5750,0.279063,0.304881,0.310494,0.259646,0.162182,0.0572372
6000,0.281387,0.292177,0.297557,0.258133,0.163918,0.0548523
6250,0.282568,0.28049,0.285655,0.256749,0.166873,0.0526582
6500,0.284578,0.269702,0.274668,0.256672,0.168295,0.0506329
6750,0.285554,0.259713,0.264495,0.255657,0.169611,0.0487576
7000,0.287314,0.250438,0.255049,0.254714,0.172047,0.0470163
7500,0.289684,0.233742,0.238046,0.238046,0.174166,0.0438818
8000,0.291759,0.219133,0.223168,0.223168,0.174987,0.0411392
8500,0.293589,0.206243,0.21004,0.21004,0.173453,0.0387193
9000,0.295217,0.194785,0.198371,0.198371,0.172089,0.0365682
9500,0.297301,0.184533,0.187931,0.187931,0.170925,0.0346436
10000,0.29858,0.175306,0.178534,0.178534,0.170658,0.0329114
11000,0.300789,0.159369,0.162304,0.162304,0.162304,0.0299194
12000,0.302629,0.146089,0.148779,0.148779,0.148779,0.0274262
13000,0.304187,0.134851,0.137334,0.137334,0.137334,0.0253165
14000,0.305521,0.125219,0.127524,0.127524,0.127524,0.0235081
15000,0.306679,0.116871,0.119023,0.119023,0.119023,0.0219409
