netto_beschikbaar_maandinkomen,A ziekte | Zelfstandige,A ziekte | Werknemer (maand 2),A ziekte | Werknemer (maand 3-6),A ziekte | Werknemer (maand 7-12),B werkloosheid | Zelfstandige,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Werknemer (maand 4-6),B werkloosheid | Werknemer (maand 7-12),C pensioen | Werknemer,C pensioen | Eenmanszaak,C pensioen | Venn. 100% loon,C pensioen | Venn. 75% loon,C pensioen | Venn. 50% loon,C pensioen | Venn. 0% loon
1550,1.03893,0.844705,0.903226,1.03893,1.04062,0.911774,0.911774,0.911774,1.08572,1.08572,1.08572,1.08572,1.08572,1.08572
1800,0.894635,0.727385,0.894635,0.894635,0.89609,0.785139,0.785139,0.785139,0.934924,0.934924,0.934924,0.934924,0.934924,0.934924
2000,0.805172,0.654647,0.805172,0.805172,0.806481,0.706625,0.706625,0.706625,0.841431,0.841431,0.841431,0.841431,0.841431,0.841431
2250,0.715708,0.772923,0.772923,0.772923,0.716872,0.777353,0.743719,0.743719,0.747939,0.749202,0.767411,0.747939,0.747939,0.747939
2500,0.644138,0.807399,0.807399,0.807399,0.645185,0.760059,0.725148,0.696658,0.766381,0.721042,0.730006,0.673145,0.673145,0.673145
2750,0.58558,0.792936,0.792936,0.792936,0.586531,0.690963,0.659226,0.633325,0.752209,0.708236,0.716194,0.61195,0.61195,0.61195
3000,0.536781,0.749561,0.749547,0.749547,0.537654,0.633383,0.60429,0.580548,0.742581,0.698607,0.699566,0.575558,0.560954,0.560954
3250,0.49549,0.691902,0.69189,0.69189,0.496296,0.584661,0.557806,0.535891,0.727286,0.689742,0.688807,0.550427,0.517804,0.517804
3500,0.460098,0.642481,0.642469,0.642469,0.460846,0.5429,0.517963,0.497613,0.721084,0.675504,0.672986,0.542078,0.480818,0.480818
3750,0.429425,0.599649,0.599638,0.599638,0.430123,0.506706,0.483432,0.464439,0.706943,0.66649,0.659796,0.53382,0.448763,0.448763
4000,0.402586,0.562171,0.562161,0.562161,0.40324,0.475037,0.453218,0.435411,0.662759,0.638145,0.638145,0.524674,0.420716,0.420716
4250,0.378904,0.529102,0.529092,0.529092,0.37952,0.447094,0.426558,0.409799,0.623773,0.600608,0.600608,0.519137,0.395968,0.395968
4500,0.357854,0.499707,0.499698,0.499698,0.358436,0.422255,0.40286,0.387032,0.589119,0.56724,0.56724,0.508718,0.383706,0.37397
4750,0.33902,0.473407,0.473398,0.473398,0.339571,0.400031,0.381657,0.366662,0.558113,0.537386,0.537386,0.502577,0.374467,0.354287
5000,0.322069,0.449736,0.449728,0.449728,0.322592,0.38003,0.362574,0.348329,0.530207,0.510516,0.510516,0.496955,0.365003,0.336573
5250,0.306732,0.42832,0.428313,0.428313,0.307231,0.361933,0.345309,0.331742,0.504959,0.486206,0.486206,0.486206,0.361385,0.320545
5500,0.29279,0.408851,0.408844,0.408844,0.293266,0.345482,0.329613,0.316663,0.482006,0.464106,0.464106,0.464106,0.355906,0.305975
5750,0.28006,0.391075,0.391068,0.391068,0.280515,0.330461,0.315282,0.302895,0.46105,0.443927,0.443927,0.443927,0.353759,0.292672
6000,0.268391,0.37478,0.374774,0.374774,0.268827,0.316691,0.302145,0.290274,0.441839,0.42543,0.42543,0.42543,0.349783,0.280477
6250,0.257655,0.359789,0.359783,0.359783,0.258074,0.304024,0.290059,0.278663,0.424166,0.408413,0.408413,0.408413,0.347847,0.269258
6500,0.247745,0.345951,0.345945,0.345945,0.248148,0.292331,0.278903,0.267945,0.407852,0.392705,0.392705,0.392705,0.344404,0.258902
6750,0.238569,0.333138,0.333132,0.333132,0.238957,0.281503,0.268573,0.258021,0.392746,0.37816,0.37816,0.37816,0.339145,0.249313
7000,0.230049,0.32124,0.321235,0.321235,0.230423,0.27145,0.258982,0.248806,0.378719,0.364655,0.364655,0.364655,0.336493,0.240409
7500,0.214713,0.299824,0.299819,0.299819,0.215062,0.253353,0.241716,0.232219,0.353471,0.340344,0.340344,0.340344,0.329898,0.224382
8000,0.201293,0.281085,0.28108,0.28108,0.20162,0.237519,0.226609,0.217706,0.331379,0.319073,0.319073,0.319073,0.319073,0.210358
8500,0.189452,0.264551,0.264546,0.264546,0.18976,0.223547,0.213279,0.204899,0.311887,0.300304,0.300304,0.300304,0.300304,0.197984
9000,0.178927,0.249854,0.249849,0.249849,0.179218,0.211128,0.20143,0.193516,0.29456,0.28362,0.28362,0.28362,0.28362,0.186985
9500,0.16951,0.236703,0.236699,0.236699,0.169785,0.200016,0.190829,0.183331,0.279056,0.268693,0.268693,0.268693,0.268693,0.177143
10000,0.161034,0.224868,0.224864,0.224864,0.161296,0.190015,0.181287,0.174164,0.265104,0.255258,0.255258,0.255258,0.255258,0.168286
11000,0.146395,0.204426,0.204422,0.204422,0.146633,0.172741,0.164806,0.158331,0.241003,0.232053,0.232053,0.232053,0.232053,0.152988
12000,0.134195,0.18739,0.187387,0.187387,0.134413,0.158346,0.151073,0.145137,0.22092,0.212715,0.212715,0.212715,0.212715,0.140239
13000,0.123873,0.172976,0.172972,0.172972,0.124074,0.146165,0.139452,0.133973,0.203926,0.196352,0.196352,0.196352,0.196352,0.129451
14000,0.115025,0.16062,0.160617,0.160617,0.115212,0.135725,0.129491,0.124403,0.18936,0.182327,0.182327,0.182327,0.182327,0.120204
15000,0.107356,0.149912,0.149909,0.149909,0.107531,0.126677,0.120858,0.11611,0.176736,0.170172,0.170172,0.170172,0.170172,0.112191
