netto_beschikbaar_maandinkomen,A ziekte | Zelfstandige,A ziekte | Werknemer (maand 2),A ziekte | Werknemer (maand 3-6),A ziekte | Werknemer (maand 7-12),B werkloosheid | Zelfstandige,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Werknemer (maand 4-6),B werkloosheid | Werknemer (maand 7-12),C pensioen | Werknemer,C pensioen | Eenmanszaak,C pensioen | Venn. 100% loon,C pensioen | Venn. 75% loon,C pensioen | Venn. 50% loon,C pensioen | Venn. 0% loon
1550,1.04672,0.851041,0.910001,1.04672,1.04843,0.918613,0.918613,0.918613,1.09386,1.09386,1.09386,1.09386,1.09386,1.09386
1800,1.04672,0.851041,1.04672,1.04672,1.04843,0.918613,0.918613,0.918613,1.09386,1.09386,1.09386,1.09386,1.09386,1.09386
2000,1.04672,0.851041,1.04672,1.04672,1.04843,0.918613,0.918613,0.918613,1.09386,1.09386,1.09386,1.09386,1.09386,1.09386
2250,1.04672,1.1304,1.1304,1.1304,1.04843,1.13688,1.08769,1.08769,1.09386,1.09571,1.12234,1.09386,1.09386,1.09386
2500,1.04672,1.31202,1.31202,1.31202,1.04843,1.2351,1.17837,1.13207,1.24537,1.17169,1.18626,1.09386,1.09386,1.09386
2750,1.04672,1.41737,1.41737,1.41737,1.04843,1.2351,1.17837,1.13207,1.34457,1.26597,1.2802,1.09386,1.09386,1.09386
3000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.44803,1.36228,1.36415,1.12234,1.09386,1.09386
3250,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.53639,1.45708,1.45511,1.16278,1.09386,1.09386
3500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.64047,1.53677,1.53104,1.23323,1.09386,1.09386
3750,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.62457,1.60825,1.30119,1.09386,1.09386
4000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.36415,1.09386,1.09386
4250,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.43412,1.09386,1.09386
4500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.488,1.12234,1.09386
4750,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.55171,1.15617,1.09386
5000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.61511,1.18626,1.09386
5250,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.23323,1.09386
5500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.27237,1.09386
5750,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.32218,1.09386
6000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.36415,1.09386
6250,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.41313,1.09386
6500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.45511,1.09386
6750,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.488,1.09386
7000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.53104,1.09386
7500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.60825,1.09386
8000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
8500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
9000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
9500,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
10000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
11000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
12000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
13000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
14000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
15000,1.04672,1.46164,1.46162,1.46162,1.04843,1.2351,1.17837,1.13207,1.72317,1.65918,1.65918,1.65918,1.65918,1.09386
