jaar,Z2_bijdragen_pc_reeel,Z2_uitgaven_pc_reeel,Z2_index_bijdragen_pc,Z2_index_uitgaven_pc,Z2_ratio_bijdragen_uitgaven,W2_bijdragen_pc_reeel,W2_uitgaven_pc_reeel,W2_index_bijdragen_pc,W2_index_uitgaven_pc,W2_ratio_bijdragen_uitgaven
2003,4.56921,7.08685,100,100,0.644744,15.6123,21.9934,100,100,0.709865
2004,4.65623,7.39577,101.904,104.359,0.629579,15.4659,23.0986,99.0618,105.025,0.669558
2005,4.73647,7.41733,103.661,104.663,0.638568,15.3575,23.12,98.3679,105.122,0.664254
2006,4.81854,7.61871,105.457,107.505,0.632461,15.2258,23.015,97.5238,104.645,0.661558
2007,4.80472,7.61135,105.154,107.401,0.631258,15.435,23.1095,98.8639,105.075,0.667905
2008,5.11837,8.20852,112.019,115.827,0.623543,15.1813,21.9364,97.2388,99.741,0.692057
2009,5.33126,8.66528,116.678,122.273,0.615244,15.5571,23.7769,99.646,108.109,0.654295
2010,5.2961,8.77496,115.908,123.82,0.603547,15.1334,23.896,96.9324,108.651,0.633302
2011,5.1212,8.77998,112.081,123.891,0.583281,15.2195,24.1358,97.4838,109.741,0.630579
2012,5.0816,8.47183,111.214,119.543,0.599823,15.5011,23.9933,99.2876,109.093,0.646062
2013,5.19126,8.60866,113.614,121.474,0.603027,15.7104,24.7476,100.628,112.523,0.634825
2014,5.13169,8.82146,112.31,124.476,0.581728,16.1157,25.74,103.224,117.035,0.626096
2015,5.32534,7.70082,116.548,108.663,0.691529,16.5382,21.9437,105.93,99.7742,0.753664
2016,5.24521,7.48551,114.795,105.625,0.700715,16.0095,21.9435,102.544,99.7733,0.729576
2017,5.1014,7.76061,111.647,109.507,0.657346,15.8825,22.3391,101.731,101.572,0.710976
2018,4.99231,7.71947,109.26,108.927,0.646717,15.6407,22.202,100.182,100.949,0.704472
2019,4.87533,7.67884,106.7,108.353,0.634904,15.7561,22.3264,100.921,101.514,0.705719
2020,4.35762,11.086,95.3693,156.43,0.393076,15.4217,24.6543,98.7789,112.099,0.625518
2021,4.49565,9.47401,98.3901,133.684,0.474524,15.639,23.7908,100.171,108.173,0.657356
2022,4.16157,8.16231,91.0786,115.175,0.509852,15.3512,22.6559,98.3272,103.012,0.677579
2023,4.43188,7.75369,96.9944,109.41,0.571583,16.1498,23.9813,103.442,109.039,0.673431
