jaar,index_aantal_vennootschappen,index_vb_per_vennootschap,index_populatie_Z2,index_gewone_bijdragen_pc_Z2,vb_per_vennootschap_reeel_eur,gewone_bijdragen_pc_reeel_Z2
2003,100,100,100,100,447.229,4375.74
2004,102.505,110.757,100.394,101.456,495.339,4439.46
2005,104.274,161.228,101.221,100.936,721.06,4416.72
2006,109.688,141.493,102.846,103.374,632.799,4523.37
2007,113.941,142.055,105.641,103.008,635.309,4507.35
2008,121.464,135.092,107.883,110.563,604.172,4837.95
2009,126.111,130.895,109.073,115.452,585.398,5051.87
2010,131.003,131.919,111.211,114.458,589.98,5008.39
2011,136.445,127.573,113.197,110.49,570.542,4834.77
2012,140.268,124.72,115.378,109.699,557.782,4800.16
2013,142.252,122.671,116.792,112.146,548.619,4907.22
2014,142.866,124.228,118.466,110.85,555.581,4850.5
2015,147.102,121.512,120.803,115.34,543.435,5046.98
2016,151.812,118.844,123.362,113.45,531.503,4964.3
2017,156.844,115.732,126.772,110.268,517.586,4825.05
2018,161.919,112.784,129.675,107.79,504.403,4716.61
2019,166.209,111.174,133.302,105.545,497.204,4618.36
2020,175.606,99.9947,137.985,94.2083,447.205,4122.31
2021,184.21,96.8422,143.413,97.5037,433.106,4266.51
2022,192.45,87.7824,146.413,90.2496,392.588,3949.09
2023,200.625,94.4477,145.498,95.8416,422.397,4193.78
