jaar,index_populatie_W1,index_werknemersbijdragen_pc_W1,index_werkgeversbijdragen_pc_W1,index_populatie_W2,index_werknemersbijdragen_pc_W2,index_werkgeversbijdragen_pc_W2
2003,100,100,100,100,100,100
2004,100.88,100.298,99.9788,100.865,100.313,99.9941
2005,102.092,97.9899,99.4179,102.048,98.0317,99.4604
2006,103.964,96.8223,100.455,103.938,96.8467,100.48
2007,106.302,98.9393,102.94,106.276,98.9628,102.964
2008,107.254,97.6306,103.132,107.235,97.6472,103.149
2009,106.852,99.678,105.494,106.836,99.6927,105.509
2010,108.354,98.4943,104.105,108.349,98.4984,104.11
2011,109.001,98.9857,105.365,109.01,98.978,105.357
2012,108.791,99.7749,107.032,108.797,99.7698,107.027
2013,108.431,100.454,108.693,108.448,100.438,108.676
2014,109.075,100.764,108.947,109.092,100.748,108.931
2015,109.829,101.626,110.388,109.862,101.596,110.355
2016,111.253,99.1826,103.792,111.295,99.1457,103.753
2017,112.913,98.862,102.76,112.971,98.8116,102.707
2018,114.551,99.1504,100.53,114.623,99.088,100.467
2019,116.099,99.8735,101.306,116.187,99.7974,101.228
2020,115.507,98.4464,99.6041,115.606,98.3625,99.5191
2021,117.626,99.4096,100.75,117.753,99.3021,100.641
2022,119.111,97.6678,98.4278,119.26,97.5458,98.3048
2023,116.859,105.044,103.822,117.017,104.902,103.682
