netto_beschikbaar_maandinkomen,A ziekte | Werknemer (maand 2),A ziekte | Eenmanszaak,A ziekte | Venn. 100% loon,A ziekte | Venn. 75% loon,A ziekte | Venn. 50% loon,A ziekte | Venn. 0% loon,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Eenmanszaak,B werkloosheid | Venn. 100% loon,B werkloosheid | Venn. 75% loon,B werkloosheid | Venn. 50% loon,B werkloosheid | Venn. 0% loon
1550,0,0.28432,0.339674,0.266447,0.266447,0.266447,0,0.217731,0.26012,0.204043,0.204043,0.204043
1800,0,0.35937,0.411183,0.280541,0.266447,0.266447,0,0.275204,0.314882,0.214837,0.204043,0.204043
2000,0.0012225,0.424069,0.473067,0.328672,0.266447,0.266447,0.00111002,0.324749,0.362272,0.251695,0.204043,0.204043
2250,0.101347,0.506883,0.555577,0.376804,0.266447,0.266447,0.100769,0.388168,0.425458,0.288554,0.204043,0.204043
2500,0.26106,0.592285,0.631213,0.431811,0.266447,0.266447,0.27732,0.453568,0.483379,0.330678,0.204043,0.204043
2750,0.28022,0.675099,0.713723,0.493694,0.290167,0.266447,0.321575,0.516987,0.546565,0.378068,0.222208,0.204043
3000,0.310204,0.768264,0.796234,0.555577,0.324547,0.266447,0.367103,0.588333,0.609752,0.425458,0.248536,0.204043
3250,0.347759,0.86143,0.885621,0.610585,0.361677,0.266447,0.411547,0.659678,0.678204,0.467582,0.27697,0.204043
3500,0.388205,0.954596,0.975008,0.672468,0.398807,0.266447,0.459411,0.731024,0.746656,0.514972,0.305404,0.204043
3750,0.42641,1.04776,1.05752,0.734351,0.434561,0.266447,0.504624,0.80237,0.809842,0.562362,0.332785,0.204043
4000,0.460977,1.12193,1.13334,0.796234,0.473067,0.266447,0.545531,0.859169,0.867906,0.609752,0.362272,0.204043
4250,0.498203,1.18621,1.19362,0.864994,0.514322,0.266447,0.589586,0.908391,0.914064,0.662407,0.393865,0.204043
4500,0.535429,1.25426,1.25389,0.926877,0.555577,0.266447,0.63364,0.960509,0.960221,0.709797,0.425458,0.204043
4750,0.569996,1.31665,1.3146,0.995636,0.589957,0.266447,0.674547,1.00828,1.00671,0.762452,0.451786,0.204043
5000,0.607222,1.38093,1.38162,1.0644,0.631213,0.266447,0.718602,1.05751,1.05804,0.815108,0.483379,0.204043
5250,0.641789,1.41926,1.44349,1.11827,0.672468,0.266447,0.759509,1.08686,1.10542,0.856367,0.514972,0.204043
5500,0.679011,1.41926,1.44539,1.16348,0.706848,0.266447,0.803558,1.08686,1.10687,0.890985,0.5413,0.204043
5750,0.713578,1.41926,1.44539,1.20868,0.754979,0.266447,0.844466,1.08686,1.10687,0.925603,0.578159,0.204043
6000,0.750804,1.41926,1.44539,1.25389,0.796234,0.266447,0.88852,1.08686,1.10687,0.960221,0.609752,0.204043
6250,0.785371,1.41926,1.44539,1.29913,0.844366,0.266447,0.929427,1.08686,1.10687,0.994866,0.646611,0.204043
6500,0.822597,1.41926,1.44539,1.35069,0.885621,0.266447,0.973482,1.08686,1.10687,1.03435,0.678204,0.204043
6750,0.857164,1.41926,1.44539,1.39709,0.926877,0.266447,1.01439,1.08686,1.10687,1.06988,0.709797,0.204043
7000,0.89439,1.41926,1.44539,1.44349,0.975008,0.266447,1.05844,1.08686,1.10687,1.10542,0.746656,0.204043
7500,0.966179,1.41926,1.44539,1.44539,1.05752,0.266447,1.1434,1.08686,1.10687,1.10687,0.809842,0.204043
8000,1.03797,1.41926,1.44539,1.44539,1.13334,0.266447,1.22836,1.08686,1.10687,1.10687,0.867906,0.204043
8500,1.10977,1.41926,1.44539,1.44539,1.19362,0.266447,1.31332,1.08686,1.10687,1.10687,0.914064,0.204043
9000,1.18156,1.41926,1.44539,1.44539,1.25389,0.266447,1.39829,1.08686,1.10687,1.10687,0.960221,0.204043
9500,1.25601,1.41926,1.44539,1.44539,1.3146,0.266447,1.48639,1.08686,1.10687,1.10687,1.00671,0.204043
10000,1.3278,1.41926,1.44539,1.44539,1.38162,0.266447,1.57135,1.08686,1.10687,1.10687,1.05804,0.204043
11000,1.47139,1.41926,1.44539,1.44539,1.44539,0.266447,1.74127,1.08686,1.10687,1.10687,1.10687,0.204043
12000,1.61497,1.41926,1.44539,1.44539,1.44539,0.266447,1.91119,1.08686,1.10687,1.10687,1.10687,0.204043
13000,1.75855,1.41926,1.44539,1.44539,1.44539,0.266447,2.08112,1.08686,1.10687,1.10687,1.10687,0.204043
14000,1.90214,1.41926,1.44539,1.44539,1.44539,0.266447,2.25103,1.08686,1.10687,1.10687,1.10687,0.204043
15000,2.04572,1.41926,1.44539,1.44539,1.44539,0.266447,2.42096,1.08686,1.10687,1.10687,1.10687,0.204043
