netto_beschikbaar_maandinkomen,A ziekte | Zelfstandige,A ziekte | Werknemer (maand 2),A ziekte | Werknemer (maand 3-6),A ziekte | Werknemer (maand 7-12),B werkloosheid | Zelfstandige,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Werknemer (maand 4-6),B werkloosheid | Werknemer (maand 7-12)
1550,0.796901,0.548969,0.903226,0.890921,1.04062,0.877632,0.826335,0.826335
1800,0.68622,0.579467,0.894635,0.767182,0.89609,0.755739,0.711566,0.711566
2000,0.617598,0.617589,0.805172,0.690464,0.806481,0.680165,0.64041,0.64041
2250,0.548976,0.772923,0.772923,0.772923,0.716872,0.777353,0.743719,0.743719
2500,0.494079,0.807399,0.807399,0.807399,0.645185,0.760059,0.725148,0.696658
2750,0.449162,0.792936,0.792936,0.792936,0.586531,0.690963,0.659226,0.633325
3000,0.411732,0.749561,0.749547,0.749547,0.537654,0.633383,0.60429,0.580548
3250,0.38006,0.691902,0.69189,0.69189,0.496296,0.584661,0.557806,0.535891
3500,0.352913,0.642481,0.642469,0.642469,0.460846,0.5429,0.517963,0.497613
3750,0.329386,0.599649,0.599638,0.599638,0.430123,0.506706,0.483432,0.464439
4000,0.308799,0.562171,0.562161,0.562161,0.40324,0.475037,0.453218,0.435411
4250,0.290634,0.529102,0.529092,0.529092,0.37952,0.447094,0.426558,0.409799
4500,0.274488,0.499707,0.499698,0.499698,0.358436,0.422255,0.40286,0.387032
4750,0.260041,0.473407,0.473398,0.473398,0.339571,0.400031,0.381657,0.366662
5000,0.247039,0.449736,0.449728,0.449728,0.322592,0.38003,0.362574,0.348329
5250,0.235276,0.42832,0.428313,0.428313,0.307231,0.361933,0.345309,0.331742
5500,0.224581,0.408851,0.408844,0.408844,0.293266,0.345482,0.329613,0.316663
5750,0.214817,0.391075,0.391068,0.391068,0.280515,0.330461,0.315282,0.302895
6000,0.205866,0.37478,0.374774,0.374774,0.268827,0.316691,0.302145,0.290274
6250,0.197631,0.359789,0.359783,0.359783,0.258074,0.304024,0.290059,0.278663
6500,0.19003,0.345951,0.345945,0.345945,0.248148,0.292331,0.278903,0.267945
6750,0.182992,0.333138,0.333132,0.333132,0.238957,0.281503,0.268573,0.258021
7000,0.176457,0.32124,0.321235,0.321235,0.230423,0.27145,0.258982,0.248806
7500,0.164693,0.299824,0.299819,0.299819,0.215062,0.253353,0.241716,0.232219
8000,0.1544,0.281085,0.28108,0.28108,0.20162,0.237519,0.226609,0.217706
8500,0.145317,0.264551,0.264546,0.264546,0.18976,0.223547,0.213279,0.204899
9000,0.137244,0.249854,0.249849,0.249849,0.179218,0.211128,0.20143,0.193516
9500,0.130021,0.236703,0.236699,0.236699,0.169785,0.200016,0.190829,0.183331
10000,0.12352,0.224868,0.224864,0.224864,0.161296,0.190015,0.181287,0.174164
11000,0.112291,0.204426,0.204422,0.204422,0.146633,0.172741,0.164806,0.158331
12000,0.102933,0.18739,0.187387,0.187387,0.134413,0.158346,0.151073,0.145137
13000,0.0950151,0.172976,0.172972,0.172972,0.124074,0.146165,0.139452,0.133973
14000,0.0882283,0.16062,0.160617,0.160617,0.115212,0.135725,0.129491,0.124403
15000,0.0823464,0.149912,0.149909,0.149909,0.107531,0.126677,0.120858,0.11611
