netto_beschikbaar_maandinkomen,A ziekte | Eenmanszaak,A ziekte | Venn. 0% loon,A ziekte | Werknemer (maand 2),A ziekte | Werknemer (maand 3-6),A ziekte | Werknemer (maand 7-12),B werkloosheid | Eenmanszaak,B werkloosheid | Venn. 0% loon,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Werknemer (maand 4-6),B werkloosheid | Werknemer (maand 7-12)
1550,1.46348,1.52146,1.33096,1.53009,1.52317,1.60048,1.65845,1.5157,1.48687,1.48687
1800,1.46348,1.52146,1.3938,1.59953,1.51633,1.60048,1.65845,1.50886,1.48003,1.48003
2000,1.46348,1.52146,1.46348,1.59953,1.51633,1.60048,1.65845,1.50886,1.48003,1.48003
2250,1.46348,1.52146,1.64621,1.64621,1.64621,1.60048,1.65845,1.64983,1.62239,1.62239
2500,1.46348,1.52146,1.74755,1.74755,1.74755,1.60048,1.65845,1.70463,1.67298,1.64715
2750,1.46348,1.52146,1.80632,1.80632,1.80632,1.60048,1.65845,1.70463,1.67298,1.64715
3000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
3250,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
3500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
3750,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
4000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
4250,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
4500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
4750,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
5000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
5250,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
5500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
5750,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
6000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
6250,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
6500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
6750,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
7000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
7500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
8000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
8500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
9000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
9500,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
10000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
11000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
12000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
13000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
14000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
15000,1.46348,1.52146,1.83102,1.83101,1.83101,1.60048,1.65845,1.70463,1.67298,1.64715
