sleutel,waarde_exact,weergave,omschrijving
doi,,10.5281/zenodo.22914842,DOI van het gearchiveerde databestand op Zenodo
z1_ratio_2003,64.47440966,64%,beroepssolidariteit Z1 in 2003
z1_ratio_2014,58.17281307,58%,beroepssolidariteit Z1 in 2014
z1_ratio_2015,69.15289654,69%,beroepssolidariteit Z1 in 2015
z1_ratio_2018,64.67168815,65%,beroepssolidariteit Z1 in 2018
z1_ratio_2019,63.49040066,63%,beroepssolidariteit Z1 in 2019
z1_ratio_2020,39.30757156,39%,beroepssolidariteit Z1 in 2020
z1_ratio_2022,50.98519705,51%,beroepssolidariteit Z1 in 2022
z1_ratio_2023,57.15825667,57%,beroepssolidariteit Z1 in 2023
z1_ratio_pp_2003_2023,-7.316152998,"-7,3 procentpunt",verandering beroepssolidariteit Z1 2003-2023
z1_bijdr_2003_2023,7.369728334,+7%,reële bijdragen per capita Z1 2003-2023
z1_uitg_2003_2023,21.11285847,+21%,reële uitgaven per capita Z1 2003-2023
z1_ratio_pp_2003_2014,-6.30159659,"-6,3 procentpunt",verandering beroepssolidariteit Z1 2003-2014
z1_bijdr_2003_2014,18.77684873,+19%,reële bijdragen per capita Z1 2003-2014
z1_uitg_2003_2014,31.64340521,+32%,reële uitgaven per capita Z1 2003-2014
z1_ratio_pp_2014_2015,10.98008346,"+11,0 procentpunt",verandering beroepssolidariteit Z1 2014-2015
z1_bijdr_2014_2015,3.784199583,+4%,reële bijdragen per capita Z1 2014-2015
z1_uitg_2014_2015,-12.69463544,-13%,reële uitgaven per capita Z1 2014-2015
z1_ratio_pp_2015_2018,-4.481208384,"-4,5 procentpunt",verandering beroepssolidariteit Z1 2015-2018
z1_bijdr_2015_2018,-4.988567053,-5%,reële bijdragen per capita Z1 2015-2018
z1_uitg_2015_2018,1.594932498,+2%,reële uitgaven per capita Z1 2015-2018
z1_ratio_pp_2015_2019,-5.66249588,"-5,7 procentpunt",verandering beroepssolidariteit Z1 2015-2019
z1_bijdr_2015_2019,-6.771971702,-7%,reële bijdragen per capita Z1 2015-2019
z1_uitg_2015_2019,1.542723444,+2%,reële uitgaven per capita Z1 2015-2019
z1_ratio_pp_2018_2019,-1.181287496,"-1,2 procentpunt",verandering beroepssolidariteit Z1 2018-2019
z1_bijdr_2018_2019,-1.877042156,-2%,reële bijdragen per capita Z1 2018-2019
z1_uitg_2018_2019,-0.05138942739,0%,reële uitgaven per capita Z1 2018-2019
z1_ratio_pp_2019_2020,-24.1828291,"-24,2 procentpunt",verandering beroepssolidariteit Z1 2019-2020
z1_bijdr_2019_2020,-10.13561113,-10%,reële bijdragen per capita Z1 2019-2020
z1_uitg_2019_2020,45.15081518,+45%,reële uitgaven per capita Z1 2019-2020
z1_ratio_pp_2019_2022,-12.50520361,"-12,5 procentpunt",verandering beroepssolidariteit Z1 2019-2022
z1_bijdr_2019_2022,-13.14006931,-13%,reële bijdragen per capita Z1 2019-2022
z1_uitg_2019_2022,8.164175479,+8%,reële uitgaven per capita Z1 2019-2022
z1_ratio_pp_2019_2023,-6.332143991,"-6,3 procentpunt",verandering beroepssolidariteit Z1 2019-2023
z1_bijdr_2019_2023,-6.573018873,-7%,reële bijdragen per capita Z1 2019-2023
z1_uitg_2019_2023,3.777071065,+4%,reële uitgaven per capita Z1 2019-2023
z1_ratio_pp_2015_2023,-11.99463987,"-12,0 procentpunt",verandering beroepssolidariteit Z1 2015-2023
z1_bijdr_2015_2023,-12.8998676,-13%,reële bijdragen per capita Z1 2015-2023
z1_uitg_2015_2023,5.37806427,+5%,reële uitgaven per capita Z1 2015-2023
z1_ratio_pp_2022_2023,6.173059614,"+6,2 procentpunt",verandering beroepssolidariteit Z1 2022-2023
z1_bijdr_2022_2023,7.560506188,+8%,reële bijdragen per capita Z1 2022-2023
z1_uitg_2022_2023,-4.055968064,-4%,reële uitgaven per capita Z1 2022-2023
z1_ratio_rel_2003_2023,-11.34737493,-11%,relatieve verandering ratio Z1 2003-2023
z2_ratio_2003,64.47440966,64%,beroepssolidariteit Z2 in 2003
z2_ratio_2014,58.17281307,58%,beroepssolidariteit Z2 in 2014
z2_ratio_2015,69.15289654,69%,beroepssolidariteit Z2 in 2015
z2_ratio_2018,64.67168815,65%,beroepssolidariteit Z2 in 2018
z2_ratio_2019,63.49040066,63%,beroepssolidariteit Z2 in 2019
z2_ratio_2020,39.30757156,39%,beroepssolidariteit Z2 in 2020
z2_ratio_2022,50.98519705,51%,beroepssolidariteit Z2 in 2022
z2_ratio_2023,57.15825667,57%,beroepssolidariteit Z2 in 2023
z2_ratio_pp_2003_2023,-7.316152998,"-7,3 procentpunt",verandering beroepssolidariteit Z2 2003-2023
z2_bijdr_2003_2023,-3.005593813,-3%,reële bijdragen per capita Z2 2003-2023
z2_uitg_2003_2023,9.409513943,+9%,reële uitgaven per capita Z2 2003-2023
z2_ratio_pp_2003_2014,-6.30159659,"-6,3 procentpunt",verandering beroepssolidariteit Z2 2003-2014
z2_bijdr_2003_2014,12.31032675,+12%,reële bijdragen per capita Z2 2003-2014
z2_uitg_2003_2014,24.47639428,+24%,reële uitgaven per capita Z2 2003-2014
z2_ratio_pp_2014_2015,10.98008346,"+11,0 procentpunt",verandering beroepssolidariteit Z2 2014-2015
z2_bijdr_2014_2015,3.773598424,+4%,reële bijdragen per capita Z2 2014-2015
z2_uitg_2014_2015,-12.70355335,-13%,reële uitgaven per capita Z2 2014-2015
z2_ratio_pp_2015_2018,-4.481208384,"-4,5 procentpunt",verandering beroepssolidariteit Z2 2015-2018
z2_bijdr_2015_2018,-6.253654206,-6%,reële bijdragen per capita Z2 2015-2018
z2_uitg_2015_2018,0.2421853609,0%,reële uitgaven per capita Z2 2015-2018
z2_ratio_pp_2015_2019,-5.66249588,"-5,7 procentpunt",verandering beroepssolidariteit Z2 2015-2019
z2_bijdr_2015_2019,-8.450452452,-8%,reële bijdragen per capita Z2 2015-2019
z2_uitg_2015_2019,-0.285455374,0%,reële uitgaven per capita Z2 2015-2019
z2_ratio_pp_2018_2019,-1.181287496,"-1,2 procentpunt",verandering beroepssolidariteit Z2 2018-2019
z2_bijdr_2018_2019,-2.343342802,-2%,reële bijdragen per capita Z2 2018-2019
z2_uitg_2018_2019,-0.5263659536,-1%,reële uitgaven per capita Z2 2018-2019
